Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,60.62,60.79,59.38,60.0,28527,0,2040845
2025.09.14 00:00:00,60.14,60.58,60.07,60.54,3997,0,206276
2025.09.13 00:00:00,60.0,60.29,59.9,60.14,3462,1,123616
2025.09.12 00:00:00,62.41,62.6,59.82,60.07,44683,0,3405686
2025.09.11 00:00:00,61.8,62.96,61.0,62.41,49197,0,4336270
2025.09.10 00:00:00,62.99,62.99,61.35,61.79,34162,0,2157780
2025.09.09 00:00:00,63.18,63.7,62.75,62.89,27127,0,1856882
2025.09.08 00:00:00,62.19,63.48,62.05,63.08,39991,0,2616445
2025.09.07 00:00:00,62.1,62.26,61.97,62.16,2929,0,67766
2025.09.06 00:00:00,62.19,62.24,61.89,61.97,3212,0,83218
2025.09.05 00:00:00,62.25,62.64,61.86,62.11,23248,0,1568642
2025.09.04 00:00:00,61.7,62.77,61.37,62.21,47733,0,3933285
2025.09.03 00:00:00,60.5,61.85,59.88,61.67,37782,0,3183826
2025.09.02 00:00:00,61.34,61.64,59.54,60.38,50651,0,3178602
2025.09.01 00:00:00,62.4,62.94,61.2,61.26,25647,0,1543324
2025.08.31 00:00:00,62.31,62.53,62.11,62.32,3590,0,140189
2025.08.30 00:00:00,62.13,62.38,61.95,62.31,3243,0,122218
2025.08.29 00:00:00,62.74,62.76,61.56,62.21,32167,0,2362862
2025.08.28 00:00:00,63.6,63.83,61.8,62.36,37063,0,2659015
2025.08.27 00:00:00,62.91,63.97,62.41,63.5,33152,0,2654147
2025.08.26 00:00:00,62.11,63.25,62.0,62.83,39802,0,3205326
2025.08.25 00:00:00,62.84,63.03,61.35,61.89,72953,0,3827567
2025.08.24 00:00:00,63.3,63.39,62.73,62.92,4829,0,246217
2025.08.23 00:00:00,63.45,63.59,63.22,63.4,3561,0,135872
2025.08.22 00:00:00,63.42,63.84,62.64,63.45,66078,0,4307651
2025.08.21 00:00:00,65.8,65.98,62.42,63.32,80135,0,7102112
2025.08.20 00:00:00,67.34,67.67,65.5,65.86,61967,0,3983075
2025.08.19 00:00:00,69.03,69.23,66.87,67.33,55702,0,5797968
2025.08.18 00:00:00,66.58,70.62,65.8,68.8,71691,0,7086026
2025.08.17 00:00:00,67.25,67.33,67.25,67.25,2016,0,110460
2025.08.16 00:00:00,67.5,67.88,67.25,67.25,15910,0,1679705
2025.08.15 00:00:00,68.57,69.97,67.77,69.27,81406,0,7289427
2025.08.14 00:00:00,68.2,68.9,66.7,68.28,81038,0,8440486
2025.08.13 00:00:00,67.91,68.89,67.08,68.14,77300,0,7532594
2025.08.12 00:00:00,65.51,67.94,64.62,67.85,103063,0,9621157
2025.08.11 00:00:00,65.03,66.5,64.32,65.49,85823,0,8348024
2025.08.08 00:00:00,61.5,63.99,60.51,63.87,63941,0,6411035
2025.08.07 00:00:00,59.04,62.15,58.52,61.27,140039,0,11443475
2025.08.06 00:00:00,57.25,59.88,56.66,58.91,93073,0,9856591
2025.08.05 00:00:00,57.24,57.4,56.4,57.13,33862,0,2440169
2025.08.04 00:00:00,57.1,57.34,56.56,57.18,38706,0,2299221
2025.08.01 00:00:00,57.09,57.73,56.6,56.98,32162,0,1798015
2025.07.31 00:00:00,56.93,57.24,56.34,56.98,33656,0,2039659
2025.07.30 00:00:00,57.2,57.67,56.54,56.88,42278,0,3365118
2025.07.29 00:00:00,56.59,57.95,56.08,57.07,71313,0,5833592
2025.07.28 00:00:00,58.93,59.05,55.7,56.53,149598,0,11041744
2025.07.27 00:00:00,58.86,58.94,58.74,58.91,2349,0,30727
2025.07.26 00:00:00,58.77,58.94,58.62,58.86,3335,0,80177
2025.07.25 00:00:00,59.1,59.5,58.34,58.58,27873,0,1506502
2025.07.24 00:00:00,59.2,59.47,58.67,59.03,23929,0,940686
2025.07.23 00:00:00,58.75,59.69,58.71,59.25,36747,0,1867910
2025.07.22 00:00:00,59.4,59.81,58.43,58.71,44182,0,2532961
2025.07.21 00:00:00,60.71,61.05,59.2,59.4,47851,0,2744686
2025.07.20 00:00:00,60.86,60.92,60.39,60.71,4191,0,168057
2025.07.19 00:00:00,60.13,60.79,60.07,60.33,6297,0,248230
2025.07.18 00:00:00,57.5,60.24,57.3,60.13,51441,0,3261635
2025.07.17 00:00:00,60.32,62.79,60.3,61.93,55770,0,3806810
2025.07.16 00:00:00,60.45,61.1,60.1,60.34,26857,0,1369847
2025.07.15 00:00:00,61.27,61.77,59.76,60.42,32761,0,1644336
