Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,46.09,46.23,45.42,45.58,22274,0,947172
2025.09.14 00:00:00,46.0,46.15,45.76,46.09,1976,0,77846
2025.09.13 00:00:00,46.1,46.19,45.86,45.98,1672,1,66927
2025.09.12 00:00:00,47.87,48.58,45.8,46.0,26598,0,1611193
2025.09.11 00:00:00,47.1,48.18,46.66,47.84,14765,0,1319811
2025.09.10 00:00:00,47.72,47.74,47.07,47.17,19944,0,812262
2025.09.09 00:00:00,47.39,47.75,47.23,47.65,11069,0,694539
2025.09.08 00:00:00,47.16,47.57,46.86,47.39,12753,0,769568
2025.09.07 00:00:00,47.19,47.19,47.04,47.11,940,0,21602
2025.09.06 00:00:00,47.1,47.42,47.04,47.17,2160,0,101393
2025.09.05 00:00:00,46.4,47.14,46.24,47.04,19396,0,1428432
2025.09.04 00:00:00,46.13,46.47,45.86,46.28,13652,0,925439
2025.09.03 00:00:00,45.74,46.11,45.3,46.01,20870,0,1528689
2025.09.02 00:00:00,46.0,46.45,45.07,45.73,26572,0,2006076
2025.09.01 00:00:00,47.0,47.31,45.86,46.01,59354,0,2353455
2025.08.31 00:00:00,47.13,47.28,46.95,47.04,1755,0,80443
2025.08.30 00:00:00,46.98,47.38,46.98,47.13,1790,0,81919
2025.08.29 00:00:00,47.75,48.12,46.92,46.98,29036,0,2000485
2025.08.28 00:00:00,49.28,49.42,47.33,47.7,41603,1,3462559
2025.08.27 00:00:00,47.39,49.99,47.31,49.28,60954,0,6497978
2025.08.26 00:00:00,47.25,47.76,47.0,47.37,9643,0,473828
2025.08.25 00:00:00,48.0,48.09,46.82,47.25,17711,0,686237
2025.08.24 00:00:00,48.24,48.33,47.9,47.93,981,0,39619
2025.08.23 00:00:00,48.39,48.4,48.19,48.24,850,0,26142
2025.08.22 00:00:00,47.1,48.45,46.7,48.27,21497,0,1343808
2025.08.21 00:00:00,48.51,48.71,46.95,47.09,20060,0,1051663
2025.08.20 00:00:00,49.08,49.48,48.4,48.53,13025,0,649140
2025.08.19 00:00:00,49.03,50.16,48.96,49.06,40242,0,2029542
2025.08.18 00:00:00,48.21,49.09,48.02,48.82,18119,0,1062658
2025.08.17 00:00:00,48.21,48.62,48.04,48.15,1870,0,95106
2025.08.16 00:00:00,48.53,48.73,47.9,48.17,4240,0,243634
2025.08.15 00:00:00,48.9,49.58,48.61,49.15,14597,0,1113791
2025.08.14 00:00:00,48.5,48.89,47.6,48.76,18007,0,1107585
2025.08.13 00:00:00,49.6,49.87,48.14,48.26,38561,0,2363328
2025.08.12 00:00:00,48.14,49.64,47.41,49.53,48436,0,3046707
2025.08.11 00:00:00,48.53,49.13,47.74,48.14,35703,0,1640692
2025.08.08 00:00:00,47.39,48.25,46.97,48.25,16364,0,1149644
