Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,7.8309999999999995,7.918,7.486,7.486,6899,0,137572
2025.09.14 00:00:00,7.754,7.835,7.725,7.8309999999999995,409,1,5975
2025.09.13 00:00:00,7.779,7.802,7.741,7.754,220,0,2031
2025.09.12 00:00:00,8.103,8.199,7.7,7.779,10055,0,179784
2025.09.11 00:00:00,7.971,8.162,7.97,8.095,4048,0,70268
2025.09.10 00:00:00,7.84,8.148,7.802,7.987,9608,0,164634
2025.09.09 00:00:00,7.8469999999999995,7.878,7.801,7.843,2059,1,22487
2025.09.08 00:00:00,7.953,7.953,7.802,7.8469999999999995,3231,1,25525
2025.09.07 00:00:00,7.888,7.952,7.888,7.93,340,1,2788
2025.09.06 00:00:00,7.851,7.93,7.851,7.915,326,1,3261
2025.09.05 00:00:00,7.825,7.939,7.817,7.898,2631,0,32848
2025.09.04 00:00:00,7.813,7.937,7.8,7.817,2800,1,38424
2025.09.03 00:00:00,7.755,7.817,7.651,7.8,3110,1,45535
2025.09.02 00:00:00,7.911,7.918,7.65,7.737,6855,0,61967
2025.09.01 00:00:00,8.069,8.069,7.84,7.917,2964,0,47975
2025.08.31 00:00:00,8.0,8.08,7.98,8.018,315,0,5171
2025.08.30 00:00:00,8.06,8.098,8.001,8.003,331,1,3263
2025.08.29 00:00:00,8.079,8.194,7.952,8.038,5485,1,87404
2025.08.28 00:00:00,8.141,8.272,7.947,8.049,3833,0,81425
2025.08.27 00:00:00,7.909,8.18,7.853,8.161,4026,0,80470
2025.08.26 00:00:00,7.834,7.9399999999999995,7.758,7.882,2684,1,65127
2025.08.25 00:00:00,8.024,8.065,7.75,7.8100000000000005,7135,0,87209
2025.08.24 00:00:00,8.058,8.066,8.016,8.024,170,1,1685
2025.08.23 00:00:00,8.041,8.058,8.015,8.05,194,1,1148
2025.08.22 00:00:00,8.101,8.18,7.915,8.046,9317,0,174412
2025.08.21 00:00:00,8.316,8.47,8.004,8.083,8060,0,146414
2025.08.20 00:00:00,8.372,8.52,8.247,8.316,4686,0,80826
2025.08.19 00:00:00,8.429,8.487,8.29,8.37,3924,0,64036
2025.08.18 00:00:00,8.217,8.537,8.217,8.405,6266,1,111827
2025.08.17 00:00:00,8.205,8.28,8.155,8.224,519,1,5841
2025.08.16 00:00:00,8.3,8.346,8.153,8.203,1154,0,16907
2025.08.15 00:00:00,8.22,8.45,8.175,8.411,5916,0,91446
2025.08.14 00:00:00,8.291,8.303,8.03,8.184,10292,0,162174
2025.08.13 00:00:00,8.374,8.499,8.276,8.278,12747,0,122789
2025.08.12 00:00:00,8.05,8.45,7.932,8.374,7829,0,125730
2025.08.11 00:00:00,8.356,8.399000000000001,7.904,8.052,9341,0,198609
2025.08.08 00:00:00,7.817,8.222,7.817,8.1,15091,0,382495
2025.08.07 00:00:00,7.675,7.836,7.561,7.802,6545,0,147785
2025.08.06 00:00:00,7.41,7.75,7.3,7.6899999999999995,14026,0,268288
2025.08.05 00:00:00,7.213,7.41,7.148,7.41,3296,0,50393
2025.08.04 00:00:00,7.272,7.292,7.112,7.2,4741,1,52661
2025.08.01 00:00:00,7.371,7.393,7.171,7.24,4209,1,53584
2025.07.31 00:00:00,7.113,7.381,7.091,7.334,2853,0,47868
2025.07.30 00:00:00,7.247,7.287,7.07,7.106,2904,0,53456
2025.07.29 00:00:00,7.194,7.28,7.123,7.196,2281,0,30332
2025.07.28 00:00:00,7.327,7.386,7.12,7.195,4825,0,145097
2025.07.27 00:00:00,7.229,7.367,7.19,7.314,1366,0,18533
2025.07.26 00:00:00,7.178,7.22,7.147,7.22,347,0,3586
2025.07.25 00:00:00,7.341,7.364,7.12,7.175,5143,0,109542
2025.07.24 00:00:00,7.4719999999999995,7.497,7.215,7.336,4407,0,99218
2025.07.23 00:00:00,7.543,7.65,7.421,7.441,8432,1,146423
2025.07.22 00:00:00,7.392,7.625,7.392,7.54,7551,0,176235
2025.07.21 00:00:00,7.08,7.504,7.03,7.358,11928,0,263783
2025.07.20 00:00:00,7.03,7.08,7.03,7.069,340,0,4165
