Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,2520.0,2543.5,2501.0,2509.0,1652,5,7764
2025.09.14 00:00:00,2514.5,2522.5,2501.5,2517.5,231,5,1321
2025.09.13 00:00:00,2513.5,2534.5,2510.5,2517.0,215,5,1221
2025.09.12 00:00:00,2597.0,2649.5,2501.5,2517.5,4571,0,34164
2025.09.11 00:00:00,2612.5,2626.0,2562.0,2609.5,1586,5,8552
2025.09.10 00:00:00,2680.0,2680.0,2583.0,2613.0,3936,0,30152
2025.09.09 00:00:00,2537.5,2690.0,2537.5,2680.0,4894,5,42632
2025.09.08 00:00:00,2557.5,2557.5,2534.5,2538.0,1014,5,4937
2025.09.07 00:00:00,2549.5,2555.0,2536.5,2554.0,216,0,722
2025.09.06 00:00:00,2547.5,2550.0,2539.0,2547.0,167,5,714
2025.09.05 00:00:00,2519.5,2548.0,2515.0,2545.0,1067,5,7657
2025.09.04 00:00:00,2519.0,2528.0,2500.0,2520.5,1432,0,10589
2025.09.03 00:00:00,2516.5,2526.0,2503.0,2510.0,1273,5,7271
2025.09.02 00:00:00,2534.5,2545.0,2499.0,2511.0,2423,0,17856
2025.09.01 00:00:00,2553.0,2569.5,2512.0,2538.5,2218,0,14392
2025.08.31 00:00:00,2560.0,2560.0,2546.5,2552.5,214,5,875
2025.08.30 00:00:00,2557.0,2559.0,2538.0,2558.5,322,5,1476
2025.08.29 00:00:00,2567.0,2584.0,2528.0,2562.0,1934,0,9939
2025.08.28 00:00:00,2651.5,2663.0,2540.0,2564.5,6441,0,58909
2025.08.27 00:00:00,2660.0,2670.0,2635.5,2650.0,1265,0,6849
2025.08.26 00:00:00,2663.0,2723.5,2650.0,2651.0,2764,5,22119
2025.08.25 00:00:00,2681.5,2692.5,2636.5,2662.5,1613,5,7617
2025.08.24 00:00:00,2695.0,2705.5,2670.0,2680.5,252,5,886
2025.08.23 00:00:00,2687.0,2706.0,2679.0,2695.0,141,5,430
2025.08.22 00:00:00,2700.0,2727.5,2664.0,2673.0,1554,0,7844
2025.08.21 00:00:00,2761.5,2769.5,2683.5,2697.0,1855,0,13314
2025.08.20 00:00:00,2751.0,2810.0,2736.5,2767.0,5195,0,35951
2025.08.19 00:00:00,2739.5,2768.5,2716.0,2741.5,2442,0,14310
2025.08.18 00:00:00,2703.5,2740.0,2700.5,2737.0,1402,5,6433
2025.08.17 00:00:00,2708.0,2722.5,2690.0,2704.0,249,5,788
2025.08.16 00:00:00,2740.0,2740.0,2657.5,2698.0,843,0,4203
2025.08.15 00:00:00,2758.5,2763.5,2710.0,2740.0,2214,0,9797
2025.08.14 00:00:00,2743.0,2770.0,2726.0,2758.5,2039,0,11693
2025.08.13 00:00:00,2787.5,2801.0,2718.0,2735.0,4662,0,30400
2025.08.12 00:00:00,2800.0,2830.0,2749.0,2788.0,5712,0,38254
2025.08.11 00:00:00,2698.5,2804.0,2698.5,2799.5,6609,0,42996
2025.08.08 00:00:00,2671.0,2700.0,2664.5,2695.5,1901,0,11493
2025.08.07 00:00:00,2703.0,2717.0,2640.0,2666.5,3412,0,21070
2025.08.06 00:00:00,2722.0,2725.0,2633.0,2701.5,3852,0,26950
2025.08.05 00:00:00,2653.5,2730.0,2651.5,2716.0,4171,0,23540
2025.08.04 00:00:00,2639.0,2666.5,2625.0,2653.5,1818,0,9640
2025.08.01 00:00:00,2647.0,2650.0,2612.0,2625.0,1944,0,10524
