Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,58.4,60.11,57.89,59.41,5084,0,219221
2025.09.14 00:00:00,58.06,58.48,58.04,58.25,366,1,5557
2025.09.13 00:00:00,58.26,58.26,58.05,58.06,336,1,2764
2025.09.12 00:00:00,58.9,59.4,58.01,58.24,3833,0,107895
2025.09.11 00:00:00,59.73,59.83,58.59,58.65,8480,0,79669
2025.09.10 00:00:00,59.35,60.2,59.11,59.66,3956,0,140538
2025.09.09 00:00:00,59.95,60.15,58.99,59.25,5098,0,131095
2025.09.08 00:00:00,60.6,61.05,59.46,59.95,10039,0,173684
2025.09.07 00:00:00,60.45,60.75,60.39,60.45,584,0,15374
2025.09.06 00:00:00,60.49,60.86,60.33,60.33,959,0,25598
2025.09.05 00:00:00,63.37,64.08,59.91,60.54,13894,0,573653
2025.09.04 00:00:00,63.51,64.49,62.5,63.4,3039,0,88175
2025.09.03 00:00:00,63.29,63.78,62.19,63.7,3206,0,88053
2025.09.02 00:00:00,64.21,64.84,62.59,63.26,3897,0,149767
2025.09.01 00:00:00,65.09,66.04,63.97,64.41,5343,0,160443
2025.08.31 00:00:00,64.75,65.3,64.44,65.3,386,1,6543
2025.08.30 00:00:00,64.59,65.27,64.59,64.76,491,0,10468
2025.08.29 00:00:00,64.38,65.5,63.8,64.89,3043,0,115415
2025.08.28 00:00:00,65.0,66.62,63.0,64.12,5212,0,154243
2025.08.27 00:00:00,63.7,65.1,63.0,64.89,3775,0,151639
2025.08.26 00:00:00,63.43,65.19,63.15,63.34,4627,0,187170
2025.08.25 00:00:00,62.4,63.55,61.31,63.28,3639,0,112207
2025.08.24 00:00:00,63.34,63.7,61.4,62.47,2265,0,74885
2025.08.23 00:00:00,62.8,64.02,62.8,63.7,534,0,9524
2025.08.22 00:00:00,63.05,63.73,62.63,63.06,2933,1,86287
2025.08.21 00:00:00,64.49,64.99,62.65,62.71,3847,1,126223
2025.08.20 00:00:00,65.47,66.06,64.1,64.49,4544,0,190296
2025.08.19 00:00:00,64.85,67.05,64.66,65.48,9124,0,387194
2025.08.18 00:00:00,63.37,65.13,63.14,64.77,5673,0,209865
2025.08.17 00:00:00,63.38,63.38,63.14,63.14,419,0,19046
2025.08.16 00:00:00,63.0,63.5,63.0,63.15,1222,0,65605
2025.08.15 00:00:00,65.07,65.5,63.2,63.7,7195,0,235086
2025.08.14 00:00:00,64.48,65.29,62.44,65.07,12176,0,512002
2025.08.13 00:00:00,63.22,65.61,63.0,64.5,16376,0,656573
2025.08.12 00:00:00,62.96,63.5,61.8,63.22,6666,0,241089
2025.08.11 00:00:00,61.41,63.45,61.4,63.1,9728,0,352564
2025.08.08 00:00:00,60.01,61.2,60.0,61.05,3124,0,95900
2025.08.07 00:00:00,59.49,61.22,59.01,60.02,5431,0,187088
2025.08.06 00:00:00,58.38,60.32,58.09,59.48,5416,1,214173
2025.08.05 00:00:00,58.36,58.63,57.55,58.27,4966,0,189703
2025.08.04 00:00:00,58.63,59.19,57.83,58.37,4445,0,167200
2025.08.01 00:00:00,59.06,59.35,58.21,58.54,1739,0,57106
2025.07.31 00:00:00,59.0,59.68,58.8,58.85,1524,0,36568
2025.07.30 00:00:00,58.79,59.11,58.79,58.96,1337,1,35674
2025.07.29 00:00:00,59.47,59.77,58.8,58.81,1920,0,45955
2025.07.28 00:00:00,58.69,60.47,58.4,59.39,5232,0,185845
2025.07.27 00:00:00,58.31,58.89,58.02,58.85,446,1,11017
2025.07.26 00:00:00,58.74,58.91,57.97,58.27,710,1,11098
2025.07.25 00:00:00,59.32,59.87,58.52,58.67,6019,0,115440
2025.07.24 00:00:00,60.0,60.0,58.5,59.3,7143,1,184486
2025.07.23 00:00:00,60.89,61.67,58.91,59.99,7549,0,265174
2025.07.22 00:00:00,60.48,61.41,59.8,61.0,4163,0,181907
2025.07.21 00:00:00,58.24,60.65,58.23,60.49,6186,0,234313
2025.07.20 00:00:00,58.26,58.53,58.25,58.48,415,0,8913
2025.07.19 00:00:00,57.98,58.47,57.97,58.31,721,1,16103
2025.07.18 00:00:00,56.85,58.03,56.85,57.96,3624,0,108192
2025.07.17 00:00:00,59.08,59.66,56.57,56.9,7601,0,271782
2025.07.16 00:00:00,55.66,59.99,55.09,59.25,6529,0,329674
2025.07.15 00:00:00,56.12,56.44,55.53,55.63,2435,0,77830
2025.07.14 00:00:00,53.93,56.29,52.15,56.15,5223,0,222862
2025.07.13 00:00:00,54.0,54.18,53.67,53.93,273,0,8995
2025.07.12 00:00:00,53.88,54.4,53.74,53.94,287,1,7872
2025.07.11 00:00:00,54.89,54.89,53.28,53.99,3680,0,119828
2025.07.10 00:00:00,55.43,55.5,54.32,54.65,3137,1,110684
2025.07.09 00:00:00,55.76,56.5,53.0,55.26,8262,0,355028
2025.07.08 00:00:00,56.63,57.8,55.21,55.32,4749,0,181442
2025.07.07 00:00:00,57.29,57.45,56.4,56.67,3922,1,79190
2025.07.06 00:00:00,57.51,57.51,57.3,57.3,218,1,3289
2025.07.05 00:00:00,57.62,57.78,57.39,57.51,369,0,5577
2025.07.04 00:00:00,58.8,58.8,57.0,57.51,5863,0,123927
2025.07.03 00:00:00,59.19,59.6,58.57,58.93,2598,1,79357
2025.07.02 00:00:00,59.21,59.71,58.32,58.84,6520,0,211517
2025.07.01 00:00:00,61.16,61.78,59.1,59.21,13460,0,779417
2025.06.30 00:00:00,59.5,61.64,59.12,61.03,20818,0,783012
2025.06.29 00:00:00,59.52,59.58,59.29,59.3,987,1,42473
2025.06.28 00:00:00,59.54,59.89,59.28,59.56,1370,0,58578
2025.06.27 00:00:00,56.22,59.9,55.88,59.77,30008,0,1168053
2025.06.26 00:00:00,55.98,56.46,55.61,56.18,5926,0,189683
2025.06.25 00:00:00,57.63,57.9,55.77,55.83,9192,0,255101
2025.06.24 00:00:00,56.01,57.75,55.76,57.54,9470,0,311071
2025.06.23 00:00:00,59.27,59.57,56.07,56.07,18956,0,606064
2025.06.20 00:00:00,61.5,61.8,58.83,59.04,20255,0,683850
2025.06.19 00:00:00,65.57,65.63,61.08,61.45,26305,0,1572366
2025.06.18 00:00:00,66.78,66.79,65.08,65.57,4918,0,167758
2025.06.17 00:00:00,66.53,67.56,65.04,66.27,9263,0,345557
2025.06.16 00:00:00,68.31,68.64,65.27,66.6,9669,0,408678
2025.06.15 00:00:00,67.84,68.8,67.0,68.48,4202,0,107862
2025.06.14 00:00:00,66.89,67.9,66.14,67.9,1512,1,38911
2025.06.13 00:00:00,67.09,69.0,65.69,66.96,6178,1,250704
2025.06.11 00:00:00,63.64,67.64,62.77,67.12,28662,0,955492
2025.06.10 00:00:00,59.39,64.2,59.14,63.64,30334,0,936120
2025.06.09 00:00:00,59.26,59.45,57.71,59.39,3569,0,72854
2025.06.08 00:00:00,59.23,59.23,58.82,59.13,219,0,3168
2025.06.07 00:00:00,59.01,59.25,59.01,59.24,399,0,3936
2025.06.06 00:00:00,59.73,62.66,58.42,58.74,3295,1,192025
2025.06.05 00:00:00,59.0,60.34,58.97,59.49,2155,1,59049
2025.06.04 00:00:00,59.65,60.57,58.71,59.02,3556,0,101369
2025.06.03 00:00:00,59.1,60.2,58.86,59.49,7901,0,74468
2025.06.02 00:00:00,57.61,59.42,57.21,59.01,9015,0,97821
2025.06.01 00:00:00,59.16,59.16,57.61,57.64,1582,0,57920
2025.05.31 00:00:00,59.18,59.63,58.97,59.01,432,0,9301
2025.05.30 00:00:00,59.8,60.29,58.9,59.31,5516,0,192659
2025.05.29 00:00:00,61.35,61.56,59.54,59.6,3696,0,114887
2025.05.28 00:00:00,60.82,61.59,60.6,61.4,3307,0,133101
2025.05.27 00:00:00,58.81,61.17,57.09,60.52,5580,0,162505
2025.05.26 00:00:00,61.23,61.35,58.0,58.81,7431,0,260714
2025.05.23 00:00:00,62.04,62.34,61.11,61.46,2329,0,67606
2025.05.22 00:00:00,62.13,62.6,60.7,62.06,4181,1,132569
2025.05.21 00:00:00,62.09,62.7,61.7,62.42,2577,0,80395
2025.05.20 00:00:00,62.6,62.88,61.45,61.86,4209,0,148151
2025.05.19 00:00:00,63.9,64.05,62.1,62.52,4049,0,84771
2025.05.18 00:00:00,64.01,64.29,63.53,63.87,1089,1,27393
2025.05.17 00:00:00,62.38,63.32,61.83,63.11,814,1,19321
2025.05.16 00:00:00,61.7,63.0,60.53,62.38,7088,0,189448
2025.05.15 00:00:00,62.2,63.0,60.93,61.57,6393,1,195599
2025.05.14 00:00:00,64.04,64.27,62.05,62.2,4211,1,113319
2025.05.13 00:00:00,64.2,64.62,63.13,64.16,3270,0,67992
2025.05.12 00:00:00,63.75,65.7,63.36,64.2,5685,0,210740
2025.05.11 00:00:00,62.9,63.75,62.29,63.41,2083,0,69573
2025.05.10 00:00:00,61.87,62.0,61.49,61.87,674,0,9454
2025.05.08 00:00:00,61.79,62.86,60.85,62.09,3646,0,92016
2025.05.07 00:00:00,61.8,63.4,61.09,61.82,7160,0,237513
2025.05.06 00:00:00,60.19,62.58,58.8,61.8,8386,0,295693
2025.05.05 00:00:00,61.76,61.91,59.07,60.19,11574,0,379901
2025.05.04 00:00:00,61.05,62.2,60.54,61.49,1371,0,30193
2025.05.03 00:00:00,61.1,61.72,61.04,61.05,589,0,21760
2025.05.02 00:00:00,63.54,63.67,60.94,61.21,10320,0,391830
2025.04.30 00:00:00,63.55,63.87,61.9,63.81,7366,0,294702
2025.04.29 00:00:00,64.02,64.5,61.9,63.39,7835,0,337591
2025.04.28 00:00:00,65.73,65.93,62.91,63.9,14889,0,495155
2025.04.27 00:00:00,65.48,66.29,65.48,66.01,1548,0,55139
2025.04.26 00:00:00,65.04,65.87,64.92,65.48,1492,0,73491
2025.04.25 00:00:00,63.33,66.49,63.0,65.02,8661,0,325680
2025.04.24 00:00:00,63.1,63.84,62.54,63.2,4118,0,118825
2025.04.23 00:00:00,64.25,64.79,61.6,63.1,8090,0,336763
2025.04.22 00:00:00,61.7,65.0,61.2,64.0,14378,0,604316
2025.04.21 00:00:00,60.27,62.0,59.52,61.67,15709,0,654755
2025.04.18 00:00:00,58.1,58.99,56.95,58.74,6750,0,261590
2025.04.17 00:00:00,55.29,59.37,55.29,59.2,9780,0,411980
2025.04.16 00:00:00,55.3,56.0,53.92,55.31,11641,0,271819
2025.04.15 00:00:00,55.18,56.52,54.73,55.31,5929,1,212278
2025.04.14 00:00:00,56.3,57.28,54.94,55.08,10827,0,325785
2025.04.11 00:00:00,53.93,55.9,53.9,55.48,7016,0,243354
2025.04.10 00:00:00,54.42,55.95,52.72,53.9,8563,0,309577
2025.04.09 00:00:00,50.67,54.41,48.0,54.29,15899,0,723318
2025.04.08 00:00:00,53.04,55.4,49.9,50.67,12939,0,537417
2025.04.07 00:00:00,54.41,54.75,48.5,53.04,21166,0,1012782
2025.04.04 00:00:00,60.53,60.58,55.0,55.17,15111,0,574928
2025.04.03 00:00:00,60.6,61.67,58.94,59.99,9788,0,341861
2025.04.02 00:00:00,57.74,60.81,57.07,60.34,11522,0,459188
2025.04.01 00:00:00,61.0,62.49,57.27,57.74,9758,0,318451
2025.03.31 00:00:00,60.97,61.54,58.1,60.71,13562,0,532399
2025.03.28 00:00:00,64.38,64.4,61.27,62.06,14665,0,379187
2025.03.27 00:00:00,67.02,67.02,63.63,64.38,15835,0,626902
2025.03.26 00:00:00,68.51,70.08,67.0,67.0,8805,0,333351
2025.03.25 00:00:00,68.37,69.18,66.83,68.46,7750,0,295346
2025.03.24 00:00:00,67.48,69.44,67.44,68.08,7140,0,239421
2025.03.21 00:00:00,68.19,68.7,67.1,67.22,4367,0,148016
2025.03.20 00:00:00,68.78,69.31,67.56,68.07,8322,0,116773
2025.03.19 00:00:00,68.29,69.0,67.5,68.6,5031,0,190403
2025.03.18 00:00:00,70.03,70.08,68.12,68.35,5709,0,181640
2025.03.17 00:00:00,70.12,71.0,69.2,69.7,8446,0,260306
2025.03.14 00:00:00,68.0,69.68,67.92,69.4,5828,0,163833
2025.03.13 00:00:00,67.19,69.39,66.51,68.16,12366,1,260588
2025.03.12 00:00:00,67.89,68.98,65.81,67.94,32172,0,1019243
2025.03.11 00:00:00,68.1,69.8,67.41,68.31,8106,0,327123
2025.03.10 00:00:00,68.9,69.42,68.0,68.1,3639,0,118157
2025.03.07 00:00:00,69.8,70.57,66.25,68.9,10296,0,369777
2025.03.06 00:00:00,69.47,70.0,68.4,69.51,7679,0,257136
2025.03.05 00:00:00,70.92,72.28,68.1,69.19,16201,0,432625
2025.03.04 00:00:00,68.28,71.96,67.78,70.9,16190,0,700624
2025.03.03 00:00:00,67.45,68.6,66.0,67.86,7096,0,242289
2025.02.28 00:00:00,67.97,69.5,65.7,68.84,12236,0,480350
2025.02.27 00:00:00,68.75,69.68,67.11,67.6,8278,0,390056
2025.02.26 00:00:00,71.89,73.1,68.5,68.83,12292,0,515085
2025.02.25 00:00:00,72.99,73.0,70.48,71.7,13848,0,449652
2025.02.24 00:00:00,69.48,72.88,68.73,72.5,25763,0,837024
2025.02.21 00:00:00,69.24,70.5,67.83,69.09,7468,0,359124
2025.02.20 00:00:00,68.85,71.4,67.55,69.06,19447,0,983570
2025.02.19 00:00:00,64.39,69.48,63.18,68.9,21745,0,1135484
2025.02.18 00:00:00,67.5,67.87,62.36,63.88,17173,0,719478
2025.02.17 00:00:00,64.72,68.8,64.37,68.34,31666,0,1119925
2025.02.14 00:00:00,65.65,66.81,62.0,63.69,14546,0,575798
2025.02.13 00:00:00,66.42,66.96,63.06,64.68,11674,0,324404
2025.02.12 00:00:00,63.57,66.7,62.72,65.96,18245,0,631420
2025.02.11 00:00:00,62.58,63.84,62.14,63.3,5602,0,185072
2025.02.10 00:00:00,64.21,64.39,61.65,62.15,13727,0,309126
2025.02.07 00:00:00,64.56,64.56,62.5,63.44,7056,1,286314
2025.02.06 00:00:00,63.03,67.68,62.26,64.05,38108,0,1814221
2025.02.05 00:00:00,59.36,63.47,58.33,63.09,11357,0,452736
2025.02.04 00:00:00,61.09,61.43,59.34,59.54,4904,0,174343
2025.02.03 00:00:00,61.0,61.26,59.72,61.06,6606,0,214937
2025.01.31 00:00:00,63.68,64.2,59.96,61.27,12336,0,527726
2025.01.30 00:00:00,61.66,63.54,61.1,63.36,9672,0,407345
2025.01.29 00:00:00,61.32,62.21,60.13,61.22,6841,0,278637
2025.01.28 00:00:00,58.82,62.08,58.55,61.73,9898,0,403613
2025.01.27 00:00:00,60.51,60.65,58.51,59.04,10419,0,387315
2025.01.24 00:00:00,61.21,62.6,59.8,60.86,9715,0,360880
2025.01.23 00:00:00,59.68,62.0,58.56,61.51,13185,0,542834
