Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,543.6,543.9,537.0,541.5,2423,0,34133
2025.09.14 00:00:00,542.4,543.9,532.8,543.9,970,0,15473
2025.09.13 00:00:00,541.1,543.7,537.2,542.5,618,0,7708
2025.09.12 00:00:00,552.9,555.0,533.3,541.0,9143,0,118969
2025.09.11 00:00:00,562.9,562.9,549.5,554.2,3160,1,55108
2025.09.10 00:00:00,566.6,569.6,560.8,560.8,1844,0,19042
2025.09.09 00:00:00,565.9,569.8,560.0,565.4,2216,0,24652
2025.09.08 00:00:00,559.5,576.2,557.6,564.7,4068,0,95035
2025.09.07 00:00:00,558.3,562.0,557.7,560.1,452,1,3989
2025.09.06 00:00:00,560.0,561.0,558.0,558.1,460,0,1741
2025.09.05 00:00:00,554.2,559.6,552.9,557.7,2082,0,17035
2025.09.04 00:00:00,553.9,559.6,549.8,553.8,2228,0,31172
2025.09.03 00:00:00,554.7,558.7,548.1,555.6,2595,0,42756
2025.09.02 00:00:00,558.8,562.2,553.8,557.9,2086,0,21748
2025.09.01 00:00:00,562.7,565.8,554.1,557.8,2649,0,48423
2025.08.31 00:00:00,555.0,558.4,550.0,558.3,958,0,9994
2025.08.30 00:00:00,555.0,558.5,555.0,557.0,567,0,5309
2025.08.29 00:00:00,559.3,563.5,555.1,555.2,2655,0,43203
2025.08.28 00:00:00,564.8,569.0,557.1,559.7,3444,0,70461
2025.08.27 00:00:00,567.1,567.1,557.3,564.7,4025,0,104135
2025.08.26 00:00:00,566.9,569.5,561.0,566.0,1853,0,26271
2025.08.25 00:00:00,574.4,575.2,557.2,565.9,3327,0,48311
2025.08.24 00:00:00,568.1,575.0,568.0,574.4,720,1,6464
2025.08.23 00:00:00,571.9,572.0,565.0,568.1,559,1,5017
2025.08.22 00:00:00,573.8,573.9,555.0,567.8,3219,0,42604
2025.08.21 00:00:00,579.4,582.5,563.3,569.5,4687,1,78285
2025.08.20 00:00:00,588.9,600.0,574.0,579.0,6518,0,162539
2025.08.19 00:00:00,586.8,591.0,584.1,588.9,2191,0,43214
2025.08.18 00:00:00,583.0,595.0,581.2,585.0,2674,1,35816
2025.08.17 00:00:00,583.6,585.9,578.0,578.6,938,0,5595
2025.08.16 00:00:00,583.9,583.9,578.0,580.1,759,0,8312
2025.08.15 00:00:00,587.0,589.8,578.8,583.3,3343,0,65437
2025.08.14 00:00:00,588.0,588.0,575.0,587.4,2779,0,45987
2025.08.13 00:00:00,595.0,598.8,583.4,584.9,3094,0,56444
2025.08.12 00:00:00,597.0,600.0,572.1,592.7,6588,0,164318
2025.08.11 00:00:00,579.8,605.1,579.8,596.0,9069,0,254975
2025.08.08 00:00:00,567.4,583.9,557.7,576.5,8941,0,295038
2025.08.07 00:00:00,566.6,573.3,561.0,566.2,3562,0,53648
2025.08.06 00:00:00,558.7,567.5,558.1,563.6,2600,0,32818
2025.08.05 00:00:00,559.4,562.9,555.0,559.9,2517,0,33472
2025.08.04 00:00:00,564.0,569.5,556.2,560.1,3952,0,50659
2025.08.01 00:00:00,554.0,558.3,551.3,555.4,3330,1,33518
2025.07.31 00:00:00,554.0,556.5,550.0,554.1,2392,0,21968
2025.07.30 00:00:00,558.7,559.1,552.7,554.0,1838,0,12420
2025.07.29 00:00:00,558.5,565.6,552.2,556.1,3499,0,56526
2025.07.28 00:00:00,565.3,572.8,558.0,558.7,3606,0,48663
2025.07.27 00:00:00,566.9,566.9,563.0,565.3,374,0,1705
2025.07.26 00:00:00,563.8,567.5,563.6,566.9,489,0,2817
2025.07.25 00:00:00,571.9,577.6,555.9,563.8,4789,1,76320
2025.07.24 00:00:00,571.5,577.0,570.0,570.1,2357,0,34669
2025.07.23 00:00:00,567.5,573.0,567.5,570.4,3438,0,29434
2025.07.22 00:00:00,567.7,573.1,566.0,567.4,2657,0,34838
2025.07.21 00:00:00,568.0,570.7,565.2,566.1,2514,0,28637
2025.07.20 00:00:00,568.8,574.0,568.0,568.7,721,0,8249
2025.07.19 00:00:00,558.8,568.0,558.0,568.0,742,1,6966
2025.07.18 00:00:00,561.6,565.0,555.7,558.8,2575,0,48445
2025.07.17 00:00:00,565.8,572.0,558.0,560.8,2535,0,53384
2025.07.16 00:00:00,567.1,570.6,563.8,565.8,1679,0,23450
2025.07.15 00:00:00,565.2,572.5,561.2,565.8,2554,0,27198
2025.07.14 00:00:00,544.5,569.5,539.1,563.7,5022,0,78614
2025.07.13 00:00:00,548.5,550.2,546.1,547.0,380,1,2087
2025.07.12 00:00:00,548.1,551.0,546.2,549.2,447,0,3488
2025.07.11 00:00:00,553.9,554.2,542.0,548.3,2901,0,30118
2025.07.10 00:00:00,558.9,562.4,548.1,552.3,2944,0,49862
2025.07.09 00:00:00,560.1,567.3,550.9,557.0,2977,0,28626
2025.07.08 00:00:00,567.6,572.5,560.1,560.2,5535,1,32303
2025.07.07 00:00:00,572.8,574.9,566.1,567.1,1940,1,20347
2025.07.06 00:00:00,573.9,574.0,569.1,571.0,400,0,4666
2025.07.05 00:00:00,572.5,575.0,570.3,573.9,330,1,2862
2025.07.04 00:00:00,573.0,577.9,564.4,572.5,4359,0,38190
2025.07.03 00:00:00,582.0,583.9,571.9,573.0,2690,0,36433
2025.07.02 00:00:00,586.6,589.3,579.4,581.4,2074,0,32143
2025.07.01 00:00:00,590.0,591.8,586.0,588.0,2698,0,35324
2025.06.30 00:00:00,587.5,596.5,585.0,590.8,3174,0,48454
2025.06.29 00:00:00,586.9,588.6,584.5,586.6,432,1,3259
2025.06.28 00:00:00,585.5,587.5,580.3,586.0,462,1,2373
2025.06.27 00:00:00,570.1,588.5,568.2,585.5,5965,0,113578
2025.06.26 00:00:00,574.0,575.0,569.5,570.1,2273,0,34884
2025.06.25 00:00:00,569.2,576.5,566.4,573.3,2591,0,36984
2025.06.24 00:00:00,573.0,573.2,555.0,566.4,3055,0,49514
2025.06.23 00:00:00,575.6,578.4,571.6,573.3,1920,1,19102
2025.06.20 00:00:00,578.6,578.7,575.4,576.9,1545,0,12934
2025.06.19 00:00:00,577.5,579.0,575.3,576.2,1758,0,20192
2025.06.18 00:00:00,576.5,579.4,574.0,576.9,1938,1,25888
2025.06.17 00:00:00,579.5,580.0,575.3,577.0,1515,0,18313
2025.06.16 00:00:00,581.3,585.3,573.1,578.0,7123,1,82651
2025.06.15 00:00:00,578.2,580.2,576.0,580.2,484,0,2728
2025.06.14 00:00:00,578.7,581.8,575.3,578.2,517,0,5551
2025.06.13 00:00:00,575.3,579.0,575.0,578.7,1319,0,14083
2025.06.11 00:00:00,576.3,581.0,573.8,577.4,1964,0,19782
2025.06.10 00:00:00,577.3,581.0,571.2,576.6,3197,0,49074
2025.06.09 00:00:00,584.0,591.5,571.8,575.3,2886,1,47389
2025.06.08 00:00:00,584.6,586.1,583.0,584.0,277,0,1001
2025.06.07 00:00:00,585.0,585.9,584.0,584.6,463,1,1676
2025.06.06 00:00:00,593.2,598.0,581.8,584.6,3370,1,47707
2025.06.05 00:00:00,593.0,597.5,590.8,593.7,3025,1,43275
2025.06.04 00:00:00,596.6,600.0,587.1,591.8,3570,0,72472
2025.06.03 00:00:00,594.6,603.0,593.4,596.6,2565,0,41761
2025.06.02 00:00:00,595.0,598.5,583.6,598.0,4581,1,79359
2025.05.30 00:00:00,610.5,614.0,604.1,611.0,2787,0,49327
2025.05.29 00:00:00,613.8,614.5,606.0,609.8,2765,0,46877
2025.05.28 00:00:00,583.4,615.5,580.9,613.2,6888,0,189379
2025.05.27 00:00:00,574.5,582.1,567.4,580.2,2031,1,18740
2025.05.26 00:00:00,585.7,585.7,570.4,574.2,2764,0,33178
2025.05.23 00:00:00,588.2,590.0,582.6,584.7,1452,1,15878
2025.05.22 00:00:00,589.2,592.1,582.5,585.8,2052,0,32521
2025.05.21 00:00:00,595.5,595.5,585.4,589.2,2211,0,39983
2025.05.20 00:00:00,595.1,601.5,590.5,593.9,1496,0,19820
2025.05.19 00:00:00,603.0,607.9,592.6,596.5,2950,0,36705
2025.05.18 00:00:00,599.6,603.5,597.7,603.5,712,1,7947
2025.05.17 00:00:00,597.7,600.0,593.5,597.8,795,1,8219
2025.05.16 00:00:00,603.8,607.0,582.6,594.5,3072,0,45251
2025.05.15 00:00:00,606.1,614.0,595.6,604.1,2409,0,39710
2025.05.14 00:00:00,613.1,622.3,605.0,607.3,2900,0,48508
2025.05.13 00:00:00,618.5,622.0,612.6,612.6,1603,0,21001
2025.05.12 00:00:00,620.5,624.8,614.5,618.5,1944,0,34606
2025.05.11 00:00:00,617.0,622.3,615.8,617.8,421,1,4045
2025.05.10 00:00:00,614.0,618.4,614.0,615.7,342,0,2257
2025.05.08 00:00:00,616.0,621.5,614.2,614.9,1124,0,16773
2025.05.07 00:00:00,620.7,622.3,611.6,615.6,1426,0,29259
2025.05.06 00:00:00,615.5,626.4,613.0,617.8,1621,0,25578
2025.05.05 00:00:00,630.8,638.8,610.5,612.0,3039,0,37645
2025.05.04 00:00:00,623.4,639.0,621.8,627.2,803,1,14075
2025.05.03 00:00:00,620.2,624.9,618.0,623.2,450,0,3257
2025.05.02 00:00:00,625.4,630.6,614.0,620.2,1469,0,24754
2025.04.30 00:00:00,616.4,636.7,599.5,624.6,4158,0,86709
2025.04.29 00:00:00,625.1,639.8,611.4,615.0,4046,0,73292
2025.04.28 00:00:00,630.2,646.6,623.0,628.0,3592,0,66024
2025.04.27 00:00:00,632.4,633.0,630.1,632.8,620,0,4122
2025.04.26 00:00:00,632.0,633.0,627.5,632.4,767,0,8301
2025.04.25 00:00:00,626.2,636.0,625.3,628.8,1831,0,35084
2025.04.24 00:00:00,628.0,630.0,625.1,626.1,964,0,15619
2025.04.23 00:00:00,632.8,637.1,621.4,626.8,1637,0,48178
2025.04.22 00:00:00,645.0,645.7,635.1,635.5,1162,0,14999
2025.04.21 00:00:00,639.1,643.0,636.0,643.0,1163,0,18039
2025.04.18 00:00:00,643.0,643.5,631.8,635.5,1267,0,19389
2025.04.17 00:00:00,621.5,649.0,621.5,643.0,4449,0,62441
2025.04.16 00:00:00,610.4,622.9,605.1,621.3,5035,0,24183
2025.04.15 00:00:00,609.5,613.3,607.6,612.8,1183,1,15626
2025.04.14 00:00:00,609.0,620.2,595.0,607.7,5212,0,59684
2025.04.11 00:00:00,599.5,610.1,598.9,605.2,1796,0,39651
2025.04.10 00:00:00,580.0,609.5,576.4,592.5,3440,0,96933
2025.04.09 00:00:00,572.5,579.9,553.6,569.6,3691,1,97582
2025.04.08 00:00:00,580.4,589.6,560.5,569.4,1856,1,40334
2025.04.07 00:00:00,555.1,587.0,534.2,577.1,5082,0,98964
2025.04.04 00:00:00,603.0,611.5,571.4,578.2,4411,0,87647
2025.04.03 00:00:00,631.4,638.0,600.0,600.0,5039,1,115329
2025.04.02 00:00:00,642.2,642.5,627.5,630.8,2003,0,24546
2025.04.01 00:00:00,643.3,649.0,638.5,638.5,2727,0,34235
2025.03.31 00:00:00,642.4,653.4,637.5,642.8,3142,0,44822
2025.03.28 00:00:00,636.0,651.0,630.0,641.6,2763,1,50871
