Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,84.3,85.3,82.05,82.9,5511,0,675498
2025.09.14 00:00:00,84.55,84.95,83.3,84.3,2092,0,166839
2025.09.13 00:00:00,85.15,86.1,85.15,85.35,1041,0,32444
2025.09.12 00:00:00,88.25,89.1,84.25,85.1,8261,0,1317364
2025.09.11 00:00:00,89.8,90.2,87.2,88.25,5095,0,749850
2025.09.10 00:00:00,91.05,91.4,89.45,89.8,8031,0,874937
2025.09.09 00:00:00,87.3,91.9,86.5,91.45,17724,0,3398575
2025.09.08 00:00:00,90.5,91.6,85.6,87.05,35568,0,4393738
2025.09.07 00:00:00,90.3,90.5,90.0,90.5,521,0,16852
2025.09.06 00:00:00,90.35,90.5,89.85,90.2,559,0,23670
2025.09.05 00:00:00,91.85,92.3,89.65,90.2,4716,0,637781
2025.09.04 00:00:00,92.55,93.55,91.25,91.6,2310,0,386374
2025.09.03 00:00:00,91.85,93.1,91.15,92.85,1779,5,170258
2025.09.02 00:00:00,92.15,92.9,91.15,92.3,2324,0,290532
2025.09.01 00:00:00,93.25,93.25,92.0,92.05,1877,0,259878
2025.08.31 00:00:00,93.2,93.2,92.45,92.8,503,0,45117
2025.08.30 00:00:00,92.7,93.3,92.5,93.0,515,0,12750
2025.08.29 00:00:00,93.4,94.45,90.65,92.7,9734,0,2031509
2025.08.28 00:00:00,95.2,95.45,92.5,93.35,3411,0,541377
2025.08.27 00:00:00,94.65,95.25,94.35,95.2,1807,0,245248
2025.08.26 00:00:00,94.15,95.3,94.1,94.65,2274,0,330894
2025.08.25 00:00:00,93.55,94.1,92.25,94.1,2646,0,417558
2025.08.24 00:00:00,93.75,94.15,93.55,93.65,426,0,10720
2025.08.23 00:00:00,94.2,94.6,93.8,94.25,462,0,20906
2025.08.22 00:00:00,93.2,94.7,93.0,94.1,2239,0,239379
2025.08.21 00:00:00,95.1,95.7,92.45,93.05,4523,0,726945
2025.08.20 00:00:00,96.65,97.2,94.4,94.95,6374,0,901484
2025.08.19 00:00:00,97.0,99.75,95.65,96.6,10846,0,2441406
2025.08.18 00:00:00,96.4,97.95,96.05,97.0,4033,0,449515
2025.08.17 00:00:00,96.5,97.6,96.4,96.4,1189,0,82162
2025.08.16 00:00:00,97.5,98.05,96.1,96.4,1690,0,168295
2025.08.15 00:00:00,97.3,98.35,96.8,97.5,3878,0,567909
2025.08.14 00:00:00,97.55,98.35,96.0,97.4,4875,0,768370
2025.08.13 00:00:00,99.8,100.35,97.4,97.4,8602,0,1877886
2025.08.12 00:00:00,95.15,103.25,93.5,99.5,48233,0,10457424
2025.08.11 00:00:00,96.2,96.2,93.2,94.3,14973,0,810449
2025.08.08 00:00:00,90.35,94.1,89.95,94.0,24647,0,1471847
2025.08.07 00:00:00,90.15,91.95,89.5,89.75,9305,0,831044
2025.08.06 00:00:00,89.3,91.6,88.45,90.3,4367,0,605858
2025.08.05 00:00:00,89.85,90.3,88.7,89.3,2297,0,223768
2025.08.04 00:00:00,88.7,90.2,88.65,89.95,3097,0,273349
2025.08.01 00:00:00,88.55,88.95,87.35,88.3,2640,0,159749
2025.07.31 00:00:00,88.1,88.9,87.7,88.2,1993,0,169256
2025.07.30 00:00:00,88.05,88.55,87.6,88.1,2027,0,116463
2025.07.29 00:00:00,88.35,89.05,87.5,87.9,3188,0,333688
2025.07.28 00:00:00,89.8,90.05,87.75,88.35,4369,5,442060
2025.07.27 00:00:00,89.5,89.75,89.1,89.4,441,0,5329
2025.07.26 00:00:00,89.6,90.25,89.05,89.45,762,0,38180
2025.07.25 00:00:00,91.35,92.55,89.25,89.6,5808,0,731555
2025.07.24 00:00:00,92.3,92.65,90.65,91.35,2294,0,209204
2025.07.23 00:00:00,92.95,93.45,91.7,92.15,2485,0,258385
2025.07.22 00:00:00,93.1,93.55,92.2,92.95,2135,0,226320
2025.07.21 00:00:00,92.0,94.35,91.5,93.1,3591,0,454963
2025.07.20 00:00:00,93.1,93.3,91.5,92.0,1114,0,118935
2025.07.19 00:00:00,92.05,93.25,91.9,92.75,1159,0,96157
2025.07.18 00:00:00,90.3,91.8,90.1,91.65,1816,0,237119
2025.07.17 00:00:00,90.55,91.75,89.2,90.1,2048,5,225086
2025.07.16 00:00:00,90.7,90.8,90.05,90.55,1333,0,146138
2025.07.15 00:00:00,89.85,92.2,89.55,90.3,3281,0,361507
2025.07.14 00:00:00,87.35,90.4,86.45,89.85,4117,0,410600
2025.07.13 00:00:00,87.85,88.7,87.05,87.25,423,0,7734
2025.07.12 00:00:00,88.2,88.55,87.6,87.9,452,0,14727
2025.07.11 00:00:00,90.3,90.3,86.75,87.5,3454,0,340560
2025.07.10 00:00:00,88.05,91.4,87.35,90.1,3500,1,294177
2025.07.09 00:00:00,87.5,91.3,86.35,88.3,4271,0,697308
2025.07.08 00:00:00,87.0,88.5,86.7,87.25,2571,0,238367
2025.07.07 00:00:00,89.85,90.15,87.1,87.85,3274,0,330278
2025.07.06 00:00:00,90.05,90.25,89.6,89.8,447,0,7376
2025.07.05 00:00:00,89.75,90.15,89.7,90.05,553,0,11306
2025.07.04 00:00:00,90.5,90.65,88.95,89.8,2636,0,202931
2025.07.03 00:00:00,91.3,92.15,90.45,90.5,2728,0,389661
2025.07.02 00:00:00,92.25,93.4,90.8,91.2,3892,0,472208
2025.07.01 00:00:00,95.15,95.85,91.9,92.3,7580,0,679527
2025.06.30 00:00:00,93.35,95.5,93.0,95.2,4813,0,673187
2025.06.29 00:00:00,93.15,93.75,93.05,93.35,813,0,38750
2025.06.28 00:00:00,92.85,94.45,92.75,93.55,1475,5,114827
2025.06.27 00:00:00,92.5,93.15,91.5,92.85,2400,0,294306
2025.06.26 00:00:00,91.4,93.2,91.4,92.35,2851,0,318041
2025.06.25 00:00:00,90.4,92.8,90.1,91.7,3120,0,262700
2025.06.24 00:00:00,88.6,90.9,88.4,90.25,3884,0,326373
2025.06.23 00:00:00,89.1,90.0,87.55,88.6,3106,0,314546
2025.06.20 00:00:00,87.25,90.0,87.05,88.95,4335,0,637977
2025.06.19 00:00:00,87.85,88.35,86.75,87.25,3491,0,401474
2025.06.18 00:00:00,87.65,89.0,85.7,87.65,11863,0,2240580
2025.06.17 00:00:00,86.95,88.15,86.0,87.65,5298,0,694656
2025.06.16 00:00:00,90.0,90.45,85.75,86.7,11651,0,1610137
2025.06.15 00:00:00,90.2,90.5,89.4,90.1,1023,0,52368
2025.06.14 00:00:00,90.1,90.35,89.0,89.55,1206,0,74883
2025.06.13 00:00:00,91.6,92.4,89.2,89.95,5188,0,507311
2025.06.11 00:00:00,91.1,92.8,89.95,91.3,3576,0,555940
2025.06.10 00:00:00,92.95,93.25,90.7,90.9,6809,5,507995
2025.06.09 00:00:00,96.55,97.4,92.3,93.0,8398,0,1275237
2025.06.08 00:00:00,97.2,97.5,96.2,96.5,618,0,24190
2025.06.07 00:00:00,97.2,97.3,96.95,97.3,908,1,7898
2025.06.06 00:00:00,100.75,102.5,96.25,96.85,4070,1,1147915
2025.06.05 00:00:00,96.95,100.85,96.65,100.35,3440,1,478361
2025.06.04 00:00:00,98.1,98.8,96.2,96.9,5088,0,532827
2025.06.03 00:00:00,96.45,98.4,95.35,98.1,5056,0,695387
2025.06.02 00:00:00,90.25,96.75,90.25,96.6,4655,0,457037
2025.06.01 00:00:00,93.3,93.55,90.05,90.95,1483,5,71754
2025.05.31 00:00:00,92.75,93.5,92.75,93.3,1745,0,23600
2025.05.30 00:00:00,92.65,93.65,91.75,92.55,1770,5,152158
2025.05.29 00:00:00,94.7,94.8,92.15,92.5,2375,0,247024
2025.05.28 00:00:00,89.7,97.45,89.7,94.1,8478,0,1066074
2025.05.27 00:00:00,88.7,90.25,87.7,89.5,4908,0,612267
2025.05.26 00:00:00,93.5,94.2,88.1,88.7,6593,0,728387
2025.05.23 00:00:00,94.5,95.1,93.15,93.65,3382,0,415003
2025.05.22 00:00:00,98.45,98.85,93.7,94.25,7212,0,1070664
2025.05.21 00:00:00,98.95,99.35,98.1,98.45,2406,0,204492
2025.05.20 00:00:00,101.0,101.7,98.2,98.85,4442,0,307968
2025.05.19 00:00:00,103.3,103.5,100.5,100.75,3395,0,325256
2025.05.18 00:00:00,102.75,103.65,102.75,102.95,761,0,28049
2025.05.17 00:00:00,101.0,102.75,100.95,102.65,894,0,57521
2025.05.16 00:00:00,101.3,104.9,98.8,101.0,4874,5,661537
2025.05.15 00:00:00,103.6,104.05,99.5,101.25,8064,0,711463
2025.05.14 00:00:00,106.0,106.35,102.55,102.9,5656,0,910136
2025.05.13 00:00:00,105.25,107.25,105.0,106.1,4369,0,654095
2025.05.12 00:00:00,105.45,107.7,101.75,105.1,9112,0,1590158
2025.05.11 00:00:00,103.85,105.85,103.8,105.1,1092,0,51644
2025.05.10 00:00:00,103.9,104.9,103.3,103.9,627,0,20708
2025.05.08 00:00:00,102.55,105.9,102.3,103.85,2893,5,274381
2025.05.07 00:00:00,101.5,103.4,100.8,102.55,2826,5,345771
