Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,7066.0,7119.0,6937.0,7026.0,22354,0,119053
2025.09.14 00:00:00,7044.0,7073.0,7033.0,7066.0,1006,0,4736
2025.09.13 00:00:00,7116.0,7140.0,7014.0,7033.0,2191,0,14518
2025.09.12 00:00:00,7198.0,7240.0,7104.0,7116.0,21246,0,182267
2025.09.11 00:00:00,7164.0,7223.0,7134.0,7197.0,21428,0,134819
2025.09.10 00:00:00,7131.0,7195.0,7067.0,7164.0,19082,0,167027
2025.09.09 00:00:00,7042.0,7158.0,7023.0,7129.0,19566,0,197938
2025.09.08 00:00:00,6905.0,7040.0,6901.0,7031.0,14078,0,76647
2025.09.07 00:00:00,6898.0,6905.0,6890.0,6904.0,627,1,2568
2025.09.06 00:00:00,6883.0,6899.0,6874.0,6896.0,817,0,4241
2025.09.05 00:00:00,6852.0,6894.0,6851.0,6888.0,5901,0,41190
2025.09.04 00:00:00,6939.0,6948.0,6818.0,6851.0,14205,0,96941
2025.09.03 00:00:00,6977.0,6977.0,6896.0,6934.0,6964,0,43118
2025.09.02 00:00:00,7000.0,7018.0,6890.0,6970.0,12829,0,76510
2025.09.01 00:00:00,7004.0,7040.0,6980.0,6997.0,5545,0,37902
2025.08.31 00:00:00,6990.0,7013.0,6990.0,7010.0,642,0,2450
2025.08.30 00:00:00,6991.0,7012.0,6981.0,6982.0,664,0,2707
2025.08.29 00:00:00,7010.0,7037.0,6951.0,6995.0,4871,0,29879
2025.08.28 00:00:00,7027.0,7042.0,6977.0,7008.0,6716,0,51496
2025.08.27 00:00:00,7008.0,7050.0,6988.0,7017.0,5764,0,54864
2025.08.26 00:00:00,6943.0,7020.0,6871.0,7009.0,10595,0,100222
2025.08.25 00:00:00,7059.0,7110.0,6885.0,6940.0,13548,0,90420
2025.08.24 00:00:00,7045.0,7062.0,7035.0,7057.0,635,0,2485
2025.08.23 00:00:00,7048.0,7065.0,7040.0,7045.0,667,0,4583
2025.08.22 00:00:00,7000.0,7049.0,6972.0,7042.0,6054,0,44877
2025.08.21 00:00:00,7035.0,7053.0,6953.0,6983.0,7114,0,58505
2025.08.20 00:00:00,7072.0,7095.0,7002.0,7028.0,5786,0,44359
2025.08.19 00:00:00,7050.0,7114.0,7016.0,7062.0,12145,0,91368
2025.08.18 00:00:00,6990.0,7091.0,6981.0,7048.0,16346,0,86379
2025.08.17 00:00:00,7000.0,7011.0,6985.0,6990.0,959,0,5311
2025.08.16 00:00:00,6982.0,7040.0,6980.0,7005.0,2676,0,17571
2025.08.15 00:00:00,7018.0,7095.0,7010.0,7051.0,11876,0,71434
2025.08.14 00:00:00,7033.0,7044.0,6990.0,7018.0,10443,0,54305
2025.08.13 00:00:00,6999.0,7077.0,6993.0,7026.0,9073,0,81596
2025.08.12 00:00:00,6998.0,7025.0,6921.0,7000.0,9319,0,69874
