Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,1293.2,1297.2,1256.4,1267.8,9640,0,186784
2025.09.14 00:00:00,1292.0,1297.8,1272.0,1292.6,2428,0,36216
2025.09.13 00:00:00,1300.0,1302.0,1288.2,1293.2,1262,0,21620
2025.09.12 00:00:00,1350.0,1356.0,1285.4,1299.6,14024,0,293107
2025.09.11 00:00:00,1342.2,1350.6,1323.4,1348.4,5312,0,129808
2025.09.10 00:00:00,1368.0,1377.4,1336.6,1338.0,5572,0,127800
2025.09.09 00:00:00,1350.8,1378.6,1350.6,1366.2,6822,0,178681
2025.09.08 00:00:00,1356.8,1366.4,1342.4,1350.4,8045,0,125997
2025.09.07 00:00:00,1357.0,1362.0,1350.2,1355.2,539,2,6444
2025.09.06 00:00:00,1356.4,1360.0,1351.2,1355.0,684,2,10917
2025.09.05 00:00:00,1337.0,1369.0,1330.8,1357.0,10420,0,222356
2025.09.04 00:00:00,1337.0,1341.8,1320.0,1333.0,6011,0,117697
2025.09.03 00:00:00,1342.0,1345.2,1312.6,1338.6,6962,0,160478
2025.09.02 00:00:00,1379.2,1387.0,1321.2,1340.4,12030,0,329385
2025.09.01 00:00:00,1380.6,1399.6,1373.2,1379.0,4849,0,104509
2025.08.31 00:00:00,1382.6,1387.0,1379.0,1384.8,570,2,7074
2025.08.30 00:00:00,1377.4,1388.0,1377.4,1381.8,900,0,10985
2025.08.29 00:00:00,1400.0,1410.8,1367.0,1374.0,11457,0,258035
2025.08.28 00:00:00,1432.4,1445.8,1383.6,1396.8,10855,0,343385
2025.08.27 00:00:00,1433.4,1444.6,1417.2,1428.6,12615,0,281625
2025.08.26 00:00:00,1430.0,1451.0,1418.6,1438.0,17561,0,495100
2025.08.25 00:00:00,1384.8,1435.0,1381.8,1427.2,14157,0,384522
2025.08.24 00:00:00,1390.0,1394.8,1384.0,1384.0,593,0,7390
2025.08.23 00:00:00,1385.0,1392.8,1379.2,1391.4,700,0,15992
2025.08.22 00:00:00,1344.0,1395.4,1339.8,1385.0,17534,0,373497
2025.08.21 00:00:00,1369.4,1369.4,1337.0,1340.0,7477,0,171568
2025.08.20 00:00:00,1390.0,1399.0,1352.0,1365.2,9434,0,249616
2025.08.19 00:00:00,1396.0,1416.4,1386.0,1390.2,7242,0,182784
2025.08.18 00:00:00,1375.0,1397.0,1362.8,1388.2,6790,0,147034
2025.08.17 00:00:00,1379.8,1383.0,1372.2,1375.4,1005,0,8125
2025.08.16 00:00:00,1375.0,1384.0,1350.6,1377.8,2605,0,47055
