Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,304.02,304.75,300.71,301.99,119995,0,21712423
2025.09.14 00:00:00,303.18,304.25,302.72,303.97,19080,0,1566130
2025.09.13 00:00:00,303.61,303.8,302.65,302.84,20399,0,1279027
2025.09.12 00:00:00,307.5,308.72,302.53,303.5,183354,0,39312689
2025.09.11 00:00:00,309.81,310.77,305.8,307.11,154966,0,29434965
2025.09.10 00:00:00,313.63,313.63,309.0,309.76,96605,0,19280818
2025.09.09 00:00:00,313.0,314.25,311.62,313.06,83687,0,17113048
2025.09.08 00:00:00,310.44,313.26,310.31,312.83,80762,0,16946837
2025.09.07 00:00:00,310.13,311.0,310.13,310.69,9440,0,734383
2025.09.06 00:00:00,310.5,310.9,310.1,310.13,10222,0,654610
2025.09.05 00:00:00,309.1,311.16,308.8,310.5,71579,0,11645345
2025.09.04 00:00:00,309.62,310.8,307.5,308.74,72119,0,12837709
2025.09.03 00:00:00,308.47,309.68,307.21,309.49,80816,0,10479152
2025.09.02 00:00:00,309.19,310.1,307.05,308.44,120393,0,17403266
2025.09.01 00:00:00,310.86,312.5,308.82,309.2,72353,0,11035733
2025.08.31 00:00:00,309.92,311.24,309.92,310.99,11822,1,1093718
2025.08.30 00:00:00,309.99,310.54,309.71,309.92,10909,0,780762
2025.08.29 00:00:00,311.19,311.82,308.95,310.04,88214,0,14851826
2025.08.28 00:00:00,313.03,314.5,310.12,310.82,104019,1,20307465
2025.08.27 00:00:00,311.99,313.78,311.06,312.78,67030,0,11687151
2025.08.26 00:00:00,311.3,314.0,310.5,311.79,69990,0,11282272
2025.08.25 00:00:00,311.84,312.3,308.75,311.42,171682,0,15297434
2025.08.24 00:00:00,312.3,312.45,311.5,311.84,9004,0,730827
2025.08.23 00:00:00,312.11,312.5,311.55,312.3,8646,0,567839
2025.08.22 00:00:00,310.14,312.49,309.75,312.05,88235,0,15490678
2025.08.21 00:00:00,314.17,315.1,309.28,309.98,130809,0,30810938
