Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,44.155,44.525,43.6,44.11,48772,0,1499669
2025.09.14 00:00:00,43.91,44.165,43.82,44.0,3257,0,125623
2025.09.13 00:00:00,43.915,44.0,43.765,43.91,3572,0,118228
2025.09.12 00:00:00,45.1,45.15,43.805,44.025,49639,0,2709845
2025.09.11 00:00:00,45.6,45.865,44.805,44.99,35321,0,2564111
2025.09.10 00:00:00,45.6,46.34,44.875,45.555,59701,0,5733152
2025.09.09 00:00:00,44.475,45.675,44.14,45.515,56474,0,4712831
2025.09.08 00:00:00,43.04,44.45,43.025,44.425,98911,0,3073372
2025.09.07 00:00:00,42.99,43.055,42.95,43.03,2209,0,57128
2025.09.06 00:00:00,42.94,43.075,42.94,42.99,2178,0,50710
2025.09.05 00:00:00,42.91,43.2,42.8,42.94,21514,0,993816
2025.09.04 00:00:00,42.205,43.01,42.17,42.88,30248,0,2447576
2025.09.03 00:00:00,42.265,42.33,41.83,42.155,45262,0,1304173
2025.09.02 00:00:00,43.37,43.445,41.825,42.26,87815,0,3800822
2025.09.01 00:00:00,43.415,43.635,43.315,43.355,20342,0,1021887
2025.08.31 00:00:00,43.4,43.55,43.39,43.415,2888,0,91228
2025.08.30 00:00:00,43.43,43.635,43.395,43.42,3504,0,90908
2025.08.29 00:00:00,43.8,44.17,43.275,43.37,41970,0,1859626
2025.08.28 00:00:00,44.22,44.3,43.5,43.705,42943,0,1781093
2025.08.27 00:00:00,44.22,44.33,44.05,44.21,17041,0,836280
2025.08.26 00:00:00,44.265,44.595,44.04,44.22,29084,0,1230701
2025.08.25 00:00:00,44.615,44.735,44.1,44.24,27801,0,1118195
2025.08.24 00:00:00,44.74,44.74,44.515,44.565,1936,0,49371
2025.08.23 00:00:00,44.59,44.675,44.55,44.62,1986,0,34720
2025.08.22 00:00:00,44.42,44.85,44.15,44.57,25524,0,1389293
2025.08.21 00:00:00,44.935,44.995,44.22,44.41,34974,0,1610302
2025.08.20 00:00:00,45.25,45.355,44.765,44.935,48610,0,1273406
2025.08.19 00:00:00,45.59,45.89,45.205,45.235,33918,0,1639401
2025.08.18 00:00:00,45.29,45.915,45.19,45.58,48182,0,1820662
2025.08.17 00:00:00,45.275,45.34,45.15,45.185,3446,0,116377
2025.08.16 00:00:00,45.295,45.4,45.0,45.245,7341,5,343008
2025.08.15 00:00:00,45.68,45.815,45.22,45.445,54245,0,2603096
