Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,103.04,104.06,102.6,103.24,3778,0,132469
2025.09.14 00:00:00,102.44,103.78,101.7,102.94,1212,0,26261
2025.09.13 00:00:00,103.34,103.94,102.14,102.44,977,2,15066
2025.09.12 00:00:00,104.78,105.14,102.54,102.82,6854,0,149891
2025.09.11 00:00:00,105.58,106.1,104.12,104.44,5149,0,169443
2025.09.10 00:00:00,109.52,109.72,105.28,105.6,16241,0,425047
2025.09.09 00:00:00,106.22,111.66,105.6,109.62,16718,0,520506
2025.09.08 00:00:00,105.92,107.12,105.82,106.12,2778,0,55548
2025.09.07 00:00:00,106.0,106.38,105.36,106.1,226,2,3398
2025.09.06 00:00:00,105.4,105.84,105.26,105.46,254,2,2367
2025.09.05 00:00:00,105.56,106.6,105.2,105.4,2500,0,51832
2025.09.04 00:00:00,105.56,105.74,104.32,105.52,1810,0,32208
2025.09.03 00:00:00,104.66,105.8,103.72,105.46,2357,0,44375
2025.09.02 00:00:00,105.16,105.36,104.0,104.7,4807,0,76589
2025.09.01 00:00:00,106.76,107.18,104.3,104.9,3542,0,84442
2025.08.31 00:00:00,106.3,106.52,105.92,106.5,255,0,2808
2025.08.30 00:00:00,106.46,106.48,105.84,106.02,312,0,2417
2025.08.29 00:00:00,107.4,107.82,105.76,105.98,3158,0,55065
2025.08.28 00:00:00,110.0,110.26,105.66,107.08,5740,0,187842
2025.08.27 00:00:00,107.8,110.5,107.62,110.12,3600,0,100086
2025.08.26 00:00:00,106.94,110.6,106.74,108.0,6232,0,228648
2025.08.25 00:00:00,107.28,107.44,105.88,106.78,2690,0,81447
2025.08.24 00:00:00,107.36,107.4,107.1,107.28,282,0,2459
2025.08.23 00:00:00,107.52,107.7,106.56,107.46,499,0,7753
2025.08.22 00:00:00,107.96,108.44,106.22,107.5,5172,0,161363
2025.08.21 00:00:00,112.04,114.48,107.34,107.66,13338,0,398700
2025.08.20 00:00:00,113.62,114.3,111.44,112.04,4695,0,83321
2025.08.19 00:00:00,112.0,114.88,111.6,113.36,8732,0,253290
2025.08.18 00:00:00,110.8,113.08,110.2,111.58,8742,0,191764
2025.08.17 00:00:00,110.94,110.94,110.0,110.18,774,2,9073
2025.08.16 00:00:00,111.48,111.48,108.64,110.26,2347,0,35359
2025.08.15 00:00:00,112.96,113.68,111.32,111.56,6930,0,148442
2025.08.14 00:00:00,114.3,114.98,111.2,112.96,11607,0,283655
2025.08.13 00:00:00,118.68,122.5,113.24,114.02,30712,0,906087
2025.08.12 00:00:00,116.12,128.48,116.12,118.2,86235,0,2825851
2025.08.11 00:00:00,103.6,116.12,103.32,116.12,31181,0,683090
2025.08.08 00:00:00,102.88,104.54,102.26,103.28,8479,0,257672
2025.08.07 00:00:00,104.2,104.98,102.88,102.9,4997,0,130887
2025.08.06 00:00:00,103.88,104.7,102.7,104.12,3965,0,78163
2025.08.05 00:00:00,104.36,104.36,103.62,103.62,2290,0,27054
2025.08.04 00:00:00,103.98,105.0,103.14,104.0,3255,0,60804
2025.08.01 00:00:00,105.58,106.34,103.36,103.88,4272,0,59100
2025.07.31 00:00:00,107.34,107.74,105.04,105.58,4491,2,79994
2025.07.30 00:00:00,104.54,108.16,104.12,107.74,7385,0,229013
2025.07.29 00:00:00,105.1,105.66,102.68,104.56,6138,0,132607
2025.07.28 00:00:00,106.94,107.58,103.3,105.12,9443,0,259074
2025.07.27 00:00:00,106.82,106.94,105.22,106.94,1891,2,35218
2025.07.26 00:00:00,107.66,108.7,106.5,106.84,1729,0,32877
2025.07.25 00:00:00,108.6,116.88,107.66,107.68,66977,0,2375865
2025.07.24 00:00:00,104.24,108.9,103.8,108.5,18584,0,432053
2025.07.23 00:00:00,104.6,105.0,103.6,103.98,2631,0,69681
2025.07.22 00:00:00,103.04,105.56,102.42,104.24,5271,0,150744
2025.07.21 00:00:00,103.32,104.3,102.1,103.18,8637,2,96013
2025.07.20 00:00:00,103.3,103.7,103.04,103.06,265,0,3752
2025.07.19 00:00:00,103.22,104.16,102.74,103.16,642,2,13092
2025.07.18 00:00:00,102.3,104.34,102.08,102.94,5132,2,147897
2025.07.17 00:00:00,102.98,103.5,101.5,102.3,2586,0,65206
2025.07.16 00:00:00,102.06,103.98,101.2,103.16,6609,0,169811
2025.07.15 00:00:00,101.46,103.0,101.16,102.38,4042,0,75907
2025.07.14 00:00:00,100.52,101.68,100.16,101.46,4481,0,88021
2025.07.13 00:00:00,100.84,101.26,100.28,100.72,420,0,6453
2025.07.12 00:00:00,101.2,101.2,100.54,101.02,217,0,1463
2025.07.11 00:00:00,100.4,101.9,100.3,101.22,5100,0,113557
2025.07.10 00:00:00,100.62,101.7,100.3,100.74,3284,1,69475
2025.07.09 00:00:00,101.06,101.5,100.12,100.34,2609,0,90159
2025.07.08 00:00:00,100.24,101.86,100.0,100.98,6523,0,600396
2025.07.07 00:00:00,100.58,101.24,100.18,100.26,2921,0,105050
2025.07.06 00:00:00,100.4,101.06,100.4,100.74,444,2,3143
2025.07.05 00:00:00,100.52,100.78,100.46,100.58,308,0,1301
2025.07.04 00:00:00,101.0,101.06,100.4,100.52,3542,0,140218
2025.07.03 00:00:00,101.64,101.9,100.62,101.04,4925,0,141530
2025.07.02 00:00:00,102.42,102.76,100.8,101.48,4740,0,108040
2025.07.01 00:00:00,101.72,103.42,101.56,102.26,6939,0,202767
2025.06.30 00:00:00,101.76,102.4,101.42,101.6,4970,0,80383
2025.06.29 00:00:00,101.78,101.9,101.5,101.76,903,2,10333
2025.06.28 00:00:00,101.64,101.9,101.46,101.74,522,2,5663
2025.06.27 00:00:00,102.02,102.1,101.16,101.6,4160,0,83004
2025.06.26 00:00:00,102.54,103.24,101.6,101.94,3213,2,93829
2025.06.25 00:00:00,101.44,103.52,101.16,102.48,7874,0,187293
2025.06.24 00:00:00,101.28,101.94,100.3,101.5,5637,0,157880
2025.06.23 00:00:00,102.26,102.64,100.94,101.14,3349,0,69524
2025.06.20 00:00:00,102.7,103.58,102.04,102.24,1890,0,45586
2025.06.19 00:00:00,102.86,104.0,102.7,102.7,4353,0,56639
2025.06.18 00:00:00,102.82,103.2,102.2,103.06,3857,0,73126
2025.06.17 00:00:00,102.82,103.3,102.22,102.54,3375,0,55508
2025.06.16 00:00:00,103.0,103.2,102.3,102.48,1933,0,43199
2025.06.15 00:00:00,103.04,103.14,102.4,103.08,419,0,5659
2025.06.14 00:00:00,102.9,103.48,102.68,103.02,279,0,2761
2025.06.13 00:00:00,102.82,103.54,102.7,102.92,1514,0,19568
2025.06.11 00:00:00,103.4,104.34,102.4,102.82,3897,0,92062
2025.06.10 00:00:00,103.24,103.5,102.2,102.88,2218,0,37108
2025.06.09 00:00:00,104.52,104.88,102.4,102.96,3453,0,73625
2025.06.08 00:00:00,104.3,104.3,103.5,103.68,307,0,2215
2025.06.07 00:00:00,104.36,104.42,104.06,104.28,310,0,795
2025.06.06 00:00:00,105.24,106.8,103.06,103.6,3160,1,103325
2025.06.05 00:00:00,104.6,106.26,104.4,104.66,3050,1,67529
2025.06.04 00:00:00,105.5,106.6,103.7,104.56,5013,0,114238
2025.06.03 00:00:00,103.96,105.9,103.42,104.84,13888,0,129311
2025.06.02 00:00:00,102.9,103.88,101.7,103.38,3145,2,40347
2025.06.01 00:00:00,104.02,104.04,102.08,102.12,714,2,11904
2025.05.31 00:00:00,104.04,104.48,103.88,104.14,336,2,3308
2025.05.30 00:00:00,103.86,104.6,103.36,104.2,2475,0,28664
2025.05.29 00:00:00,104.84,104.94,103.0,103.86,2229,0,59165
2025.05.28 00:00:00,102.38,105.0,102.26,104.3,5164,0,161726
2025.05.27 00:00:00,101.32,102.9,101.0,102.18,2622,0,109019
2025.05.26 00:00:00,102.42,102.5,101.1,101.58,2960,0,81803
2025.05.23 00:00:00,103.68,103.7,102.18,102.32,3105,0,48641
2025.05.22 00:00:00,105.04,105.52,101.56,103.18,6067,0,154717
2025.05.21 00:00:00,105.6,105.74,104.68,105.28,2417,0,44921
2025.05.20 00:00:00,106.94,107.16,104.76,105.14,3377,2,76809
2025.05.19 00:00:00,105.22,108.86,104.78,106.4,18763,0,419996
2025.05.18 00:00:00,104.68,105.78,104.56,105.26,548,0,7039
2025.05.17 00:00:00,103.72,104.62,103.58,104.62,374,0,3618
2025.05.16 00:00:00,103.6,104.2,101.82,103.6,3606,0,79172
2025.05.15 00:00:00,104.56,105.26,102.4,103.7,5674,0,112612
2025.05.14 00:00:00,105.0,106.32,104.02,104.36,2885,0,50553
2025.05.13 00:00:00,106.04,106.56,104.52,105.16,2452,0,40354
2025.05.12 00:00:00,107.26,107.74,105.5,106.04,4669,0,88567
2025.05.11 00:00:00,105.0,106.22,105.0,105.5,828,0,12209
2025.05.10 00:00:00,104.96,105.7,104.56,104.98,440,0,5804
2025.05.08 00:00:00,103.14,107.0,103.1,105.58,5830,0,110016
2025.05.07 00:00:00,101.22,104.06,101.22,103.22,3632,0,98821
2025.05.06 00:00:00,100.78,101.94,100.04,101.12,19071,0,133599
2025.05.05 00:00:00,102.26,102.32,100.0,100.28,6118,0,185023
2025.05.04 00:00:00,101.7,102.54,101.44,101.82,581,0,9544
2025.05.03 00:00:00,101.82,101.98,101.0,101.72,505,0,8442
2025.05.02 00:00:00,102.48,102.98,101.04,101.46,3146,0,53658
2025.04.30 00:00:00,104.12,104.12,101.5,102.42,4978,2,76757
2025.04.29 00:00:00,106.96,106.96,102.62,103.88,5227,0,69342
2025.04.28 00:00:00,107.76,108.24,105.74,106.28,4262,0,85233
2025.04.27 00:00:00,107.24,108.0,107.0,107.44,1015,0,18978
2025.04.26 00:00:00,105.9,107.54,105.9,106.76,994,0,25715
2025.04.25 00:00:00,105.84,106.8,105.6,106.02,4362,0,51474
2025.04.24 00:00:00,105.12,106.98,104.84,105.3,5040,0,71668
2025.04.23 00:00:00,106.92,107.36,104.16,105.12,4356,0,80864
2025.04.22 00:00:00,105.42,107.0,105.08,106.84,5446,2,132759
2025.04.21 00:00:00,106.0,107.74,104.4,105.24,6919,0,134894
2025.04.18 00:00:00,106.08,106.22,104.02,104.26,4210,0,88758
2025.04.17 00:00:00,107.1,107.54,105.0,106.7,5037,0,89517
2025.04.16 00:00:00,104.7,107.34,103.5,107.18,4426,0,105845
2025.04.15 00:00:00,105.0,105.88,104.02,105.28,4693,2,57282
2025.04.14 00:00:00,107.88,107.92,104.0,104.94,9980,2,107897
2025.04.13 00:00:00,107.28,108.44,106.74,107.7,1040,2,15592
2025.04.12 00:00:00,107.0,109.18,104.1,107.24,2542,0,75477
2025.04.11 00:00:00,104.44,108.0,104.42,107.0,7523,0,139066
2025.04.10 00:00:00,106.0,108.88,103.36,104.32,5535,0,179908
