Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,643.4,644.2,635.4,641.0,26997,0,1544677
2025.09.14 00:00:00,643.6,643.6,640.3,642.8,2777,0,69824
2025.09.13 00:00:00,645.5,646.8,640.9,641.4,2667,0,49985
2025.09.12 00:00:00,656.9,660.0,640.0,645.5,42382,0,2249159
2025.09.11 00:00:00,650.2,664.7,650.1,655.1,21576,0,1326134
2025.09.10 00:00:00,657.3,661.1,650.0,650.1,24416,0,1196475
2025.09.09 00:00:00,659.0,661.6,653.3,657.3,20102,0,1095325
2025.09.08 00:00:00,663.9,666.0,655.0,658.7,22690,0,1236580
2025.09.07 00:00:00,663.2,665.5,661.9,664.0,1934,0,66782
2025.09.06 00:00:00,664.3,664.9,662.0,663.2,1780,0,25208
2025.09.05 00:00:00,656.0,665.8,655.2,664.3,24821,0,1129227
2025.09.04 00:00:00,653.9,657.0,648.4,655.4,16787,0,960526
2025.09.03 00:00:00,647.0,657.7,640.0,653.9,25340,0,1284206
2025.09.02 00:00:00,652.0,652.8,640.1,647.0,30189,0,1362987
2025.09.01 00:00:00,659.1,662.4,649.1,651.0,32115,0,1095914
2025.08.31 00:00:00,654.5,657.8,654.4,657.4,2636,0,56141
2025.08.30 00:00:00,653.0,655.8,651.6,654.4,2266,0,69052
2025.08.29 00:00:00,648.3,653.0,642.3,651.3,53118,0,1482378
2025.08.28 00:00:00,653.7,656.5,644.5,647.7,46606,0,1919029
2025.08.27 00:00:00,661.9,662.3,651.7,653.7,40817,0,2714858
2025.08.26 00:00:00,666.0,674.2,656.0,660.2,23766,0,1312147
2025.08.25 00:00:00,673.9,674.0,659.1,665.5,95294,0,1405395
2025.08.24 00:00:00,677.8,678.0,672.5,673.9,2082,0,53278
2025.08.23 00:00:00,676.3,678.3,674.8,677.8,2148,0,44444
2025.08.22 00:00:00,682.9,684.9,667.0,675.0,37630,0,2881992
2025.08.21 00:00:00,694.3,698.0,677.8,681.2,34489,0,1977853
2025.08.20 00:00:00,698.6,703.5,691.5,694.3,26028,0,1341160
2025.08.19 00:00:00,709.0,715.0,697.7,698.3,37160,0,2196382
2025.08.18 00:00:00,706.0,715.4,695.1,706.2,67590,0,4704416
2025.08.17 00:00:00,710.1,711.1,704.6,706.8,3753,0,141203
2025.08.16 00:00:00,715.0,718.7,704.1,710.1,5816,0,277556
2025.08.15 00:00:00,722.9,730.0,717.3,725.4,22693,0,1136607
2025.08.14 00:00:00,712.6,724.0,708.6,721.6,31539,0,1915837
2025.08.13 00:00:00,723.0,726.3,710.1,712.5,33051,0,1808773
2025.08.12 00:00:00,721.6,726.9,717.2,723.2,24149,0,1411372
2025.08.11 00:00:00,729.2,746.0,718.1,721.2,51505,0,3516958
2025.08.08 00:00:00,703.4,731.4,695.2,728.7,43064,0,3878925
2025.08.07 00:00:00,688.3,711.7,679.6,703.0,60104,0,5488238
2025.08.06 00:00:00,669.0,710.0,651.7,688.6,55224,0,4398756
2025.08.05 00:00:00,661.5,668.9,654.5,668.7,25211,0,1142630
2025.08.04 00:00:00,651.2,660.5,648.3,658.6,32814,0,1365120
2025.08.01 00:00:00,646.9,652.3,643.7,651.1,37127,0,1682472
2025.07.31 00:00:00,644.3,648.1,638.9,647.0,21596,0,1198041
2025.07.30 00:00:00,644.2,648.9,640.0,646.0,19499,0,1012600
2025.07.29 00:00:00,652.7,652.8,639.9,644.2,26960,0,1847073
2025.07.28 00:00:00,663.5,664.7,647.4,650.3,34814,0,2258624
2025.07.27 00:00:00,663.6,664.4,663.0,663.5,1177,0,25373
2025.07.26 00:00:00,663.8,666.7,663.8,664.8,1412,0,26879
2025.07.25 00:00:00,669.6,674.8,650.3,664.0,69050,0,2574308
2025.07.24 00:00:00,672.7,677.4,664.6,669.6,21437,0,1343124
2025.07.23 00:00:00,667.0,676.0,666.9,671.6,24532,0,1710807
2025.07.22 00:00:00,661.0,667.0,653.2,666.5,21428,0,1256849
2025.07.21 00:00:00,664.3,665.5,652.7,660.9,29406,0,1667861
2025.07.20 00:00:00,663.8,666.0,663.8,664.4,1519,0,37936
2025.07.19 00:00:00,661.8,668.0,661.1,662.3,2768,1,106025
2025.07.18 00:00:00,632.4,661.6,629.8,659.9,43962,0,4035836
2025.07.17 00:00:00,629.3,636.0,626.6,632.9,14221,0,1040504
2025.07.16 00:00:00,628.5,636.3,624.0,628.8,17314,0,1312555
2025.07.15 00:00:00,625.5,629.7,624.0,628.1,22877,0,988259
2025.07.14 00:00:00,606.4,639.8,596.9,624.6,38054,0,2730878
2025.07.13 00:00:00,609.0,610.7,604.9,609.3,2114,0,59901
2025.07.12 00:00:00,610.0,611.8,608.7,608.7,1605,0,25391
2025.07.11 00:00:00,623.8,626.6,604.0,608.1,23444,0,1697566
2025.07.10 00:00:00,615.6,627.5,610.6,623.8,11326,1,1056520
2025.07.09 00:00:00,621.7,628.7,608.1,614.2,35868,0,2296774
2025.07.08 00:00:00,638.4,640.4,619.6,621.2,64219,0,2485590
2025.07.07 00:00:00,641.5,641.7,633.4,639.2,21921,0,1037263
2025.07.06 00:00:00,641.6,642.3,640.3,641.5,1018,0,29464
2025.07.05 00:00:00,642.0,643.5,641.1,641.6,1369,0,27715
2025.07.04 00:00:00,637.0,649.2,632.3,642.0,24088,0,1867206
2025.07.03 00:00:00,647.7,653.7,636.6,637.2,38159,0,1615815
2025.07.02 00:00:00,655.5,656.7,643.0,646.3,49292,0,1692925
2025.07.01 00:00:00,670.7,671.9,650.8,653.9,30634,1,2690853
2025.06.30 00:00:00,666.4,673.9,662.2,670.1,39637,0,1581760
2025.06.29 00:00:00,669.9,669.9,666.2,666.2,2288,0,59719
2025.06.28 00:00:00,669.0,674.2,669.0,669.1,2791,0,77579
2025.06.27 00:00:00,652.1,672.0,649.8,670.2,29668,0,2326676
2025.06.26 00:00:00,654.1,659.9,651.9,653.0,17815,1,945004
2025.06.25 00:00:00,646.8,659.8,643.9,655.3,24328,0,1417866
2025.06.24 00:00:00,639.7,648.0,630.0,647.0,33473,0,2474815
2025.06.23 00:00:00,660.0,664.0,641.7,642.5,30461,0,2189317
2025.06.20 00:00:00,655.4,659.3,644.8,651.5,33659,0,1815408
2025.06.19 00:00:00,661.2,663.0,648.2,655.5,45282,0,3354360
2025.06.18 00:00:00,667.0,667.4,658.2,660.8,20233,0,1404562
2025.06.17 00:00:00,644.5,666.0,644.5,663.6,26277,0,1815633
2025.06.16 00:00:00,660.6,660.8,642.0,646.0,39048,0,2702065
2025.06.15 00:00:00,671.4,674.2,654.2,660.9,11266,0,900045
2025.06.14 00:00:00,660.2,666.9,657.9,666.6,8419,0,573240
2025.06.13 00:00:00,639.6,657.2,624.6,654.7,42026,0,2395631
2025.06.11 00:00:00,625.0,633.2,618.0,622.9,19689,0,1119205
2025.06.10 00:00:00,641.3,643.4,620.0,626.0,29729,0,1957126
2025.06.09 00:00:00,643.6,644.9,625.2,640.2,35802,0,2197661
2025.06.08 00:00:00,644.0,645.7,641.5,643.6,2215,0,58776
2025.06.07 00:00:00,642.7,645.4,642.2,644.0,2287,0,42406
2025.06.06 00:00:00,654.9,670.0,638.4,639.1,4900,1,4424017
2025.06.05 00:00:00,656.8,661.5,653.0,654.3,4880,1,1395381
2025.06.04 00:00:00,662.2,664.0,651.1,656.7,61705,0,2877466
2025.06.03 00:00:00,656.5,662.0,652.9,661.7,59771,0,2297257
2025.06.02 00:00:00,654.7,666.8,640.0,656.5,70588,0,4982939
2025.05.30 00:00:00,687.0,706.7,683.6,704.8,64786,0,3340507
2025.05.29 00:00:00,686.2,698.0,682.0,687.8,40471,0,2648390
2025.05.28 00:00:00,680.5,690.0,672.0,685.8,39764,0,2326907
2025.05.27 00:00:00,678.6,685.9,670.1,680.1,26519,1,1066011
2025.05.26 00:00:00,690.4,690.4,674.0,678.6,34670,0,1362355
2025.05.23 00:00:00,692.7,699.0,686.0,690.7,31395,0,1834732
2025.05.22 00:00:00,691.0,699.0,678.3,692.7,41690,0,2849080
2025.05.21 00:00:00,691.6,699.9,687.4,691.4,25574,0,1455269
2025.05.20 00:00:00,703.0,705.3,688.0,690.9,29262,0,1479809
2025.05.19 00:00:00,710.0,713.9,697.7,703.9,40795,0,1756254
2025.05.18 00:00:00,707.0,712.2,706.5,709.9,3665,0,195006
2025.05.17 00:00:00,700.8,706.3,700.8,706.3,2320,0,48732
2025.05.16 00:00:00,695.0,710.8,682.2,699.0,44849,1,2692142
2025.05.15 00:00:00,701.0,706.9,689.6,695.7,36474,0,1937881
2025.05.14 00:00:00,716.9,720.2,700.0,700.5,30616,0,1384412
2025.05.13 00:00:00,720.9,722.8,712.5,715.8,30471,0,1772094
2025.05.12 00:00:00,708.5,724.6,707.2,720.9,50180,0,2503853
2025.05.11 00:00:00,703.3,712.5,703.3,705.7,3981,0,121999
2025.05.10 00:00:00,697.7,702.0,697.7,700.5,2517,0,62133
2025.05.08 00:00:00,691.6,699.8,690.4,696.8,13025,0,682970
2025.05.07 00:00:00,686.3,698.0,680.7,691.6,42842,1,2608083
2025.05.06 00:00:00,683.2,695.0,669.0,685.0,37680,0,2289699
2025.05.05 00:00:00,698.9,699.9,673.7,680.0,60837,0,3041184
2025.05.04 00:00:00,698.7,703.8,698.7,701.1,2639,0,104718
2025.05.03 00:00:00,700.8,700.8,697.5,698.7,1772,0,31119
2025.05.02 00:00:00,714.9,714.9,696.3,698.9,27432,0,1610112
2025.04.30 00:00:00,722.0,727.0,701.9,714.9,62230,0,3341871
2025.04.29 00:00:00,725.4,730.0,709.0,723.1,42023,0,2415188
2025.04.28 00:00:00,721.4,733.8,707.4,725.4,67378,0,2816996
2025.04.27 00:00:00,719.2,721.6,718.6,721.1,2820,0,45049
2025.04.26 00:00:00,719.5,725.2,716.5,720.7,5652,0,225731
2025.04.25 00:00:00,689.8,720.5,689.3,719.5,134278,0,3145139
