Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,117.84,118.46,115.84,116.3,6435,0,206112
2025.09.14 00:00:00,117.84,118.6,117.04,117.96,1503,0,29805
2025.09.13 00:00:00,118.7,118.7,117.42,117.84,986,0,21801
2025.09.12 00:00:00,119.52,120.16,116.6,118.78,9869,0,351466
2025.09.11 00:00:00,118.6,120.84,118.1,119.34,11071,0,403435
2025.09.10 00:00:00,119.46,122.44,118.04,118.48,20151,0,970002
2025.09.09 00:00:00,119.16,119.38,117.7,119.18,10658,0,363069
2025.09.08 00:00:00,121.28,121.28,118.42,119.36,20696,0,809917
2025.09.07 00:00:00,122.06,122.08,120.5,121.42,5750,0,243731
2025.09.06 00:00:00,119.04,122.0,119.0,121.64,15256,0,566474
2025.09.05 00:00:00,114.96,118.76,114.66,118.7,15701,0,816423
2025.09.04 00:00:00,115.18,115.7,114.1,114.64,8187,0,427635
2025.09.03 00:00:00,113.0,115.98,111.3,115.18,27395,0,1299902
2025.09.02 00:00:00,106.76,113.38,106.44,113.04,59201,0,2663131
2025.09.01 00:00:00,107.52,108.36,106.0,106.42,1698,0,46914
2025.08.31 00:00:00,107.72,107.82,107.28,107.28,225,2,2769
2025.08.30 00:00:00,107.74,108.06,107.42,107.72,166,0,1809
2025.08.29 00:00:00,105.6,108.5,105.52,107.74,3107,0,115065
2025.08.28 00:00:00,107.28,107.82,105.08,105.6,1715,0,37990
2025.08.27 00:00:00,105.52,107.34,105.16,107.28,2164,0,51301
2025.08.26 00:00:00,105.54,106.1,104.72,105.46,1060,0,23240
2025.08.25 00:00:00,104.92,105.5,104.32,105.28,1097,0,27799
2025.08.24 00:00:00,105.3,105.32,104.8,104.92,154,2,1472
2025.08.23 00:00:00,105.06,105.24,104.86,105.02,236,2,2313
2025.08.22 00:00:00,104.86,105.14,104.22,104.94,1247,2,24223
2025.08.21 00:00:00,106.38,106.74,104.1,104.28,2955,2,82218
