Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025.09.15 00:00:00,113.05,113.46,106.47,107.97,34508,0,6359685
2025.09.14 00:00:00,112.2,113.18,111.55,112.56,3837,0,330364
2025.09.13 00:00:00,113.08,114.1,111.3,112.23,4317,0,565811
2025.09.12 00:00:00,116.92,118.3,111.0,113.46,26457,0,4500331
2025.09.11 00:00:00,117.05,118.1,116.61,116.9,7160,0,869803
2025.09.10 00:00:00,119.7,119.95,117.05,117.05,8808,0,1423934
2025.09.09 00:00:00,118.97,119.84,118.15,119.75,11224,0,2013495
2025.09.08 00:00:00,117.4,120.16,117.23,118.97,20230,0,3221698
2025.09.07 00:00:00,116.4,117.51,116.3,117.33,2704,0,161361
2025.09.06 00:00:00,116.2,116.78,116.03,116.32,3001,0,133611
2025.09.05 00:00:00,117.49,118.73,115.54,116.19,21844,0,2809047
2025.09.04 00:00:00,118.61,119.25,116.2,117.13,17031,0,2719504
2025.09.03 00:00:00,121.8,121.89,116.26,118.58,35529,0,5957299
2025.09.02 00:00:00,125.3,125.47,120.03,121.52,25650,0,3639114
2025.09.01 00:00:00,127.5,128.22,124.7,125.04,18643,0,2306240
2025.08.31 00:00:00,127.5,127.59,126.92,127.46,2972,0,121571
2025.08.30 00:00:00,127.0,127.7,126.99,127.41,2326,0,102378
2025.08.29 00:00:00,128.75,129.9,126.75,127.0,21355,0,2369822
2025.08.28 00:00:00,131.42,132.05,128.01,128.75,21542,0,2857126
2025.08.27 00:00:00,133.77,135.44,130.4,131.16,32068,0,5024636
2025.08.26 00:00:00,131.75,137.66,130.4,133.77,38808,0,6123684
2025.08.25 00:00:00,135.05,135.5,130.3,131.3,20612,0,2588265
2025.08.24 00:00:00,135.17,135.67,134.5,134.71,1127,0,68938
2025.08.23 00:00:00,135.21,135.7,134.62,135.17,3968,0,85163
2025.08.22 00:00:00,135.4,137.05,133.99,134.86,16282,0,1773354
2025.08.21 00:00:00,140.8,140.88,133.02,135.21,36739,0,4524389
2025.08.20 00:00:00,143.0,143.01,140.13,140.71,7958,0,881292
2025.08.19 00:00:00,144.81,145.37,141.75,142.5,20675,0,2539163
2025.08.18 00:00:00,140.17,145.72,139.84,144.34,33488,0,4513273
2025.08.17 00:00:00,140.48,140.66,139.41,140.17,1717,0,76125
2025.08.16 00:00:00,141.75,141.75,137.52,140.31,4419,0,365849
2025.08.15 00:00:00,143.95,144.24,140.7,141.75,10609,0,1707182
2025.08.14 00:00:00,142.19,144.0,141.02,143.47,10178,0,1976548
2025.08.13 00:00:00,145.0,146.0,141.43,142.23,11916,0,1348508
2025.08.12 00:00:00,144.56,145.36,143.0,144.62,8096,0,1113356
2025.08.11 00:00:00,143.17,146.8,143.17,144.55,28287,0,4331727
2025.08.08 00:00:00,142.98,142.98,141.16,142.7,8697,0,1322567
2025.08.07 00:00:00,142.99,144.49,140.32,142.2,34611,0,3907375
2025.08.06 00:00:00,139.5,143.85,138.19,142.2,19341,0,3485718
2025.08.05 00:00:00,139.6,140.55,138.4,139.39,12610,0,1694214
2025.08.04 00:00:00,136.03,140.0,135.91,139.23,21979,0,2424475
2025.08.01 00:00:00,137.43,138.27,135.5,135.81,11895,0,1179957
2025.07.31 00:00:00,137.47,138.95,136.03,137.13,10924,0,1072809
2025.07.30 00:00:00,139.47,141.5,135.7,137.62,17407,0,2315249
2025.07.29 00:00:00,138.04,143.4,138.04,139.21,26128,0,2854698
2025.07.28 00:00:00,142.5,144.96,137.1,137.95,28324,0,3570727
2025.07.27 00:00:00,142.16,144.0,141.4,142.29,3734,0,212515
2025.07.26 00:00:00,142.48,144.0,141.6,142.25,4312,0,373620
2025.07.25 00:00:00,147.42,147.49,139.72,141.63,37670,0,4770008
2025.07.24 00:00:00,148.82,150.91,144.68,147.07,25513,0,3642170
2025.07.23 00:00:00,151.62,152.88,147.14,148.82,29675,0,4470739
2025.07.22 00:00:00,153.46,154.29,149.08,151.44,29858,0,5386789
2025.07.21 00:00:00,146.54,153.56,146.0,152.78,55354,0,10785895
2025.07.20 00:00:00,146.02,146.82,145.72,146.26,2260,0,271617
2025.07.19 00:00:00,144.55,146.77,144.55,145.89,4782,0,609905
2025.07.18 00:00:00,142.84,146.4,141.69,144.5,16697,0,2665575
2025.07.17 00:00:00,144.04,148.97,141.03,142.75,38407,0,4654229
2025.07.16 00:00:00,147.0,147.8,142.51,143.82,29153,0,3690944
2025.07.15 00:00:00,148.32,152.28,145.62,146.58,54498,0,8166931
2025.07.14 00:00:00,137.77,149.35,132.0,147.45,46770,0,6930632
2025.07.13 00:00:00,138.45,138.79,136.82,138.27,5167,1,331057
2025.07.12 00:00:00,139.65,140.6,138.57,139.01,2516,0,151037
2025.07.11 00:00:00,148.2,149.0,138.2,139.25,28572,0,3378476
2025.07.10 00:00:00,148.2,151.5,146.84,147.97,14687,0,2008931
2025.07.09 00:00:00,149.7,152.48,144.24,147.6,27849,0,2979834
2025.07.08 00:00:00,150.41,155.8,148.56,149.6,40507,0,3475156
2025.07.07 00:00:00,155.36,156.96,149.7,150.18,27408,0,2271154
2025.07.06 00:00:00,155.31,155.86,154.3,155.16,1971,1,139301
2025.07.05 00:00:00,154.52,156.31,154.52,155.58,3562,0,357969
2025.07.04 00:00:00,158.15,159.06,153.35,154.31,23911,0,2006825
2025.07.03 00:00:00,161.4,162.67,157.4,158.17,23095,0,2251000
2025.07.02 00:00:00,162.5,163.78,160.02,161.09,15657,0,1658386
2025.07.01 00:00:00,164.99,166.2,162.22,162.45,31187,0,2299458
2025.06.30 00:00:00,163.66,166.0,161.79,164.69,33142,0,3070018
2025.06.29 00:00:00,163.81,164.22,163.13,163.66,3463,0,249078
2025.06.28 00:00:00,164.06,165.01,163.6,163.99,3146,0,207588
2025.06.27 00:00:00,167.33,167.95,160.9,163.97,29521,0,3400251
2025.06.26 00:00:00,167.29,169.94,166.0,167.15,16899,0,1690731
2025.06.25 00:00:00,164.5,169.74,161.81,167.29,43981,0,4091874
2025.06.24 00:00:00,161.01,163.8,156.54,163.2,31578,0,3179250
2025.06.23 00:00:00,164.39,165.1,159.8,161.0,17080,0,1299014
2025.06.20 00:00:00,168.1,171.0,163.0,164.06,18294,0,1639591
2025.06.19 00:00:00,167.88,171.37,167.34,168.35,20214,0,1775657
2025.06.18 00:00:00,168.68,173.42,165.62,167.4,31703,0,2965532
2025.06.17 00:00:00,163.98,168.88,160.66,168.66,40501,0,3989083
2025.06.16 00:00:00,172.08,175.4,162.08,163.17,48816,0,4046100
2025.06.15 00:00:00,172.45,172.5,170.21,171.99,3834,0,219518
2025.06.14 00:00:00,172.55,173.39,170.8,172.3,5251,0,386830
2025.06.13 00:00:00,177.02,178.6,170.0,172.55,15977,0,1527568
2025.06.11 00:00:00,176.09,180.0,174.0,177.03,26049,0,3223909
2025.06.10 00:00:00,177.26,180.4,172.0,175.2,37603,0,3827484
2025.06.09 00:00:00,178.83,186.8,174.1,176.57,418739,0,12146979
2025.06.08 00:00:00,178.15,178.15,176.26,178.15,3044,0,752752
2025.06.07 00:00:00,174.72,178.15,174.27,178.15,2303,0,1084615
2025.06.06 00:00:00,192.5,199.2,171.12,173.38,4945,1,22183033
2025.06.05 00:00:00,171.41,195.43,171.02,192.3,4935,1,17487965
2025.06.04 00:00:00,169.78,174.6,168.65,171.0,58237,0,4048142
2025.06.03 00:00:00,161.0,170.38,161.0,169.45,26230,0,2736420
2025.06.02 00:00:00,156.0,162.99,154.0,161.23,14748,0,1234285
2025.06.01 00:00:00,161.49,161.49,156.19,156.28,4015,1,314064
2025.05.31 00:00:00,161.41,162.89,161.0,161.91,2591,0,86108
2025.05.30 00:00:00,159.95,164.17,157.07,161.0,11521,0,1079564
2025.05.29 00:00:00,164.0,165.45,158.6,159.41,22960,0,1619020
2025.05.28 00:00:00,151.18,166.79,151.14,163.47,45039,0,3632246
2025.05.27 00:00:00,147.96,152.71,143.86,151.18,21277,0,1706050
2025.05.26 00:00:00,158.18,159.14,147.66,149.27,36393,0,3400215
2025.05.23 00:00:00,160.33,161.64,157.29,158.18,8644,0,705118
2025.05.22 00:00:00,165.1,165.63,159.21,160.19,18236,0,1500654
2025.05.21 00:00:00,169.37,170.19,163.81,165.08,7388,0,449387
2025.05.20 00:00:00,169.23,171.2,168.47,169.37,5817,1,384630
2025.05.19 00:00:00,173.19,173.19,168.0,168.34,9258,0,428942
2025.05.18 00:00:00,171.49,173.4,171.41,172.86,2571,1,173083
2025.05.17 00:00:00,168.46,171.5,168.44,170.98,2575,0,115980
2025.05.16 00:00:00,170.04,171.62,165.0,168.47,12594,1,757619
2025.05.15 00:00:00,170.43,172.5,167.87,169.99,12672,1,622952
2025.05.14 00:00:00,175.53,176.0,170.0,170.0,9676,0,552747
2025.05.13 00:00:00,178.0,180.32,173.14,174.99,10832,0,808291
2025.05.12 00:00:00,175.35,182.0,175.06,177.7,14899,0,1236544
2025.05.11 00:00:00,173.01,175.91,173.01,174.85,4053,0,275088
2025.05.10 00:00:00,172.47,173.68,172.18,172.66,2272,0,78180
2025.05.08 00:00:00,171.57,175.11,170.89,172.45,10246,0,832729
2025.05.07 00:00:00,166.18,173.97,166.05,170.88,16960,1,2055433
2025.05.06 00:00:00,165.87,168.9,162.55,165.81,17619,0,1729592
2025.05.05 00:00:00,167.85,170.6,163.25,165.29,16826,0,1473072
2025.05.04 00:00:00,166.3,169.06,166.3,168.13,3496,0,175283
